ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Time Based Key-Value Store,49.4%,Medium,100.0,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
2,Check if Every Row and Column Contains All Numbers,52.5%,Easy,70.8,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers,"Array, Hash Table, Matrix"
3,Word Search II,37.0%,Hard,62.3,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
4,Best Time to Buy and Sell Stock II,68.9%,Medium,62.3,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
5,Best Time to Buy and Sell Stock,54.8%,Easy,62.3,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
6,Merge Intervals,48.8%,Medium,62.3,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
7,Best Time to Buy and Sell Stock with Cooldown,59.8%,Medium,62.3,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Array, Dynamic Programming"
8,Non-overlapping Intervals,54.9%,Medium,62.3,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
9,Wildcard Matching,29.4%,Hard,62.3,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
10,Basic Calculator II,45.3%,Medium,62.3,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
11,Valid Sudoku,61.7%,Medium,62.3,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
12,Search Insert Position,48.3%,Easy,62.3,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
13,LRU Cache,44.4%,Medium,62.3,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
14,Edit Distance,58.2%,Medium,62.3,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
15,Maximum Number of Events That Can Be Attended,32.7%,Medium,62.3,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
16,Minimum Number of Arrows to Burst Balloons,60.0%,Medium,62.3,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,"Array, Greedy, Sorting"
17,Valid Number,21.1%,Hard,62.3,https://leetcode.com/problems/valid-number,String
18,Squares of a Sorted Array,73.1%,Easy,62.3,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
