ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Minimum Operations to Reduce an Integer to 0,56.7%,Medium,100.0,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
2,Number of Provinces,68.0%,Medium,100.0,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union Find, Graph"
3,Random Pick with Weight,48.2%,Medium,98.1,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
4,Maximum Subarray Sum with One Deletion,44.8%,Medium,96.0,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,"Array, Dynamic Programming"
5,Game of Life,70.9%,Medium,93.8,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
6,Power of Four,49.1%,Easy,93.8,https://leetcode.com/problems/power-of-four,"Math, Bit Manipulation, Recursion"
7,Wildcard Matching,29.4%,Hard,93.8,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
8,Maximum Sum Circular Subarray,46.9%,Medium,93.8,https://leetcode.com/problems/maximum-sum-circular-subarray,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue"
9,Longest String Chain,61.7%,Medium,93.8,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
10,Intersection of Two Arrays,76.0%,Easy,93.8,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
11,Multiply Strings,41.8%,Medium,91.3,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
12,Word Search II,37.0%,Hard,88.5,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
13,Parallel Courses III,66.8%,Hard,77.3,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
14,Merge k Sorted Lists,55.8%,Hard,72.0,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
15,Design HashMap,65.7%,Easy,65.2,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
16,Minimum Space Wasted From Packaging,32.3%,Hard,65.2,https://leetcode.com/problems/minimum-space-wasted-from-packaging,"Array, Binary Search, Sorting, Prefix Sum"
17,Design Memory Allocator,53.5%,Medium,65.2,https://leetcode.com/problems/design-memory-allocator,"Array, Hash Table, Design, Simulation"
18,Design Tic-Tac-Toe,58.4%,Medium,55.7,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
19,Best Time to Buy and Sell Stock,54.8%,Easy,55.7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
20,Search Suggestions System,65.0%,Medium,55.7,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
21,Number of Orders in the Backlog,51.2%,Medium,55.7,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Array, Heap (Priority Queue), Simulation"
22,Sum of Square Numbers,36.4%,Medium,55.7,https://leetcode.com/problems/sum-of-square-numbers,"Math, Two Pointers, Binary Search"
23,Merge Intervals,48.8%,Medium,55.7,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
24,Robot Room Cleaner,77.2%,Hard,55.7,https://leetcode.com/problems/robot-room-cleaner,"Backtracking, Interactive"
