ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Design In-Memory File System,48.0%,Hard,100.0,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
2,LRU Cache,44.4%,Medium,100.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
3,Possible Bipartition,51.2%,Medium,95.9,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
4,Unique Paths II,42.8%,Medium,95.9,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
5,Unique Paths,65.4%,Medium,91.0,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
6,LFU Cache,45.8%,Hard,91.0,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
7,Decode String,60.7%,Medium,85.0,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
8,Design Twitter,41.6%,Medium,85.0,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
9,Subsets,80.3%,Medium,85.0,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
10,Word Break,47.9%,Medium,85.0,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
11,Regular Expression Matching,29.0%,Hard,85.0,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
12,Number of Islands,61.6%,Medium,77.3,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
13,Longest Substring with At Most K Distinct Characters,49.3%,Medium,77.3,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
14,Search a 2D Matrix,51.8%,Medium,77.3,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
15,Longest Duplicate Substring,30.6%,Hard,66.4,https://leetcode.com/problems/longest-duplicate-substring,"String, Binary Search, Sliding Window, Rolling Hash, Suffix Array, Hash Function"
16,Split BST,82.5%,Medium,66.4,https://leetcode.com/problems/split-bst,"Tree, Binary Search Tree, Recursion, Binary Tree"
17,Increasing Triplet Subsequence,39.2%,Medium,66.4,https://leetcode.com/problems/increasing-triplet-subsequence,"Array, Greedy"
18,Basic Calculator,44.9%,Hard,66.4,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
19,Range Module,44.0%,Hard,66.4,https://leetcode.com/problems/range-module,"Design, Segment Tree, Ordered Set"
20,Find Pivot Index,59.9%,Easy,66.4,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
21,Search a 2D Matrix II,54.4%,Medium,66.4,https://leetcode.com/problems/search-a-2d-matrix-ii,"Array, Binary Search, Divide and Conquer, Matrix"
22,Cheapest Flights Within K Stops,40.1%,Medium,66.4,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
23,Basic Calculator II,45.3%,Medium,66.4,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
24,Number of Atoms,65.1%,Hard,66.4,https://leetcode.com/problems/number-of-atoms,"Hash Table, String, Stack, Sorting"
25,Bus Routes,47.1%,Hard,66.4,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
26,Course Schedule,48.5%,Medium,66.4,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
27,Maximum Number of Tasks You Can Assign,33.8%,Hard,66.4,https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign,"Array, Binary Search, Greedy, Queue, Sorting, Monotonic Queue"
28,Sliding Window Maximum,47.2%,Hard,66.4,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
