ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Integer to Roman,67.9%,Medium,100.0,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
2,Merge Intervals,48.8%,Medium,96.0,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
3,Number of Islands,61.6%,Medium,96.0,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
4,Longest Palindromic Substring,35.3%,Medium,93.7,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
5,3Sum,36.4%,Medium,93.7,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
6,Longest String Chain,61.7%,Medium,93.7,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
7,Add Two Numbers,45.4%,Medium,91.2,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
8,Unique Email Addresses,67.5%,Easy,91.2,https://leetcode.com/problems/unique-email-addresses,"Array, Hash Table, String"
9,Binary Tree Maximum Path Sum,40.9%,Hard,91.2,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
10,Clone Graph,61.2%,Medium,91.2,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
11,Is Subsequence,48.2%,Easy,91.2,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
12,Copy List with Random Pointer,59.5%,Medium,91.2,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
13,Employees Earning More Than Their Managers,71.0%,Easy,91.2,https://leetcode.com/problems/employees-earning-more-than-their-managers,Database
14,Verifying an Alien Dictionary,55.4%,Easy,91.2,https://leetcode.com/problems/verifying-an-alien-dictionary,"Array, Hash Table, String"
15,Binary Tree Right Side View,65.6%,Medium,91.2,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
