ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Replace the Substring for Balanced String,39.2%,Medium,100.0,https://leetcode.com/problems/replace-the-substring-for-balanced-string,"String, Sliding Window"
2,Merge Operations to Turn Array Into a Palindrome,69.1%,Medium,91.0,https://leetcode.com/problems/merge-operations-to-turn-array-into-a-palindrome,"Array, Two Pointers, Greedy"
3,Climbing Stairs,53.3%,Easy,79.8,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
4,Two Sum,55.1%,Easy,75.8,https://leetcode.com/problems/two-sum,"Array, Hash Table"
5,Longest Common Prefix,44.9%,Easy,64.5,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
6,Valid Parentheses,41.8%,Easy,64.5,https://leetcode.com/problems/valid-parentheses,"String, Stack"
7,Longest Palindromic Substring,35.3%,Medium,64.5,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
8,Longest Substring Without Repeating Characters,36.3%,Medium,64.5,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
9,Trapping Rain Water,64.3%,Hard,55.6,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
10,Binary Tree Right Side View,65.6%,Medium,55.6,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
11,Reverse Vowels of a String,57.0%,Easy,55.6,https://leetcode.com/problems/reverse-vowels-of-a-string,"Two Pointers, String"
12,Largest Color Value in a Directed Graph,49.5%,Hard,55.6,https://leetcode.com/problems/largest-color-value-in-a-directed-graph,"Hash Table, Dynamic Programming, Graph, Topological Sort, Memoization, Counting"
13,Search in Rotated Sorted Array,42.3%,Medium,55.6,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
14,Longest Common Subsequence,58.0%,Medium,55.6,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
15,Remove Duplicates from Sorted Array II,62.2%,Medium,55.6,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
16,Container With Most Water,57.2%,Medium,55.6,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
17,Longest Consecutive Sequence,47.2%,Medium,55.6,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
18,Asteroid Collision,45.1%,Medium,55.6,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
19,Best Time to Buy and Sell Stock,54.8%,Easy,55.6,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
