ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Subarray Product Less Than K,52.4%,Medium,100.0,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
2,Valid Parentheses,41.8%,Easy,96.1,https://leetcode.com/problems/valid-parentheses,"String, Stack"
3,Group Anagrams,70.3%,Medium,96.1,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
4,Trapping Rain Water,64.3%,Hard,93.9,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
5,Generate Parentheses,76.5%,Medium,86.0,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
6,Longest Substring Without Repeating Characters,36.3%,Medium,78.7,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
7,LRU Cache,44.4%,Medium,78.7,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
8,Merge Intervals,48.8%,Medium,74.2,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
9,Zigzag Conversion,50.8%,Medium,74.2,https://leetcode.com/problems/zigzag-conversion,String
10,Search in Rotated Sorted Array,42.3%,Medium,74.2,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
11,Design HashMap,65.7%,Easy,74.2,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
12,Best Time to Buy and Sell Stock,54.8%,Easy,74.2,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
13,Validate Binary Search Tree,34.0%,Medium,68.6,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
14,Number of Islands,61.6%,Medium,68.6,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
15,Two Sum,55.1%,Easy,68.6,https://leetcode.com/problems/two-sum,"Array, Hash Table"
16,Maximal Square,48.2%,Medium,68.6,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
17,First Unique Character in a String,63.2%,Easy,61.4,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
18,Vowels of All Substrings,54.4%,Medium,61.4,https://leetcode.com/problems/vowels-of-all-substrings,"Math, String, Dynamic Programming, Combinatorics"
19,Meeting Rooms II,51.9%,Medium,61.4,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
20,Maximum Product Subarray,34.5%,Medium,61.4,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
21,Number of Distinct Substrings in a String,64.4%,Medium,61.4,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,"String, Trie, Rolling Hash, Suffix Array, Hash Function"
22,Daily Temperatures,67.0%,Medium,61.4,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
23,Top K Frequent Words,58.9%,Medium,61.4,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
24,Longest Consecutive Sequence,47.2%,Medium,61.4,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
25,Pacific Atlantic Water Flow,56.9%,Medium,61.4,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
26,Validate IP Address,27.7%,Medium,61.4,https://leetcode.com/problems/validate-ip-address,String
27,Valid Parenthesis String,38.6%,Medium,61.4,https://leetcode.com/problems/valid-parenthesis-string,"String, Dynamic Programming, Stack, Greedy"
28,3Sum,36.4%,Medium,61.4,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
29,Fraction to Recurring Decimal,25.9%,Medium,61.4,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
30,Move Zeroes,62.5%,Easy,61.4,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
31,Longest Palindromic Substring,35.3%,Medium,61.4,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
32,Maximum Subarray,51.7%,Medium,61.4,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
33,Median of Two Sorted Arrays,42.9%,Hard,61.4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
34,Sum Root to Leaf Numbers,67.9%,Medium,61.4,https://leetcode.com/problems/sum-root-to-leaf-numbers,"Tree, Depth-First Search, Binary Tree"
35,Largest Number,40.9%,Medium,61.4,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
36,Lexicographically Smallest String After Operations With Constraint,63.4%,Medium,51.4,https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint,"String, Greedy"
37,Number of Distinct Roll Sequences,57.2%,Hard,51.4,https://leetcode.com/problems/number-of-distinct-roll-sequences,"Dynamic Programming, Memoization"
38,Asteroid Collision,45.1%,Medium,51.4,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
39,Coin Change,45.8%,Medium,51.4,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
40,House Robber,52.0%,Medium,51.4,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
41,Populating Next Right Pointers in Each Node,64.8%,Medium,51.4,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
42,Rotting Oranges,56.0%,Medium,51.4,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
43,Number of Visible People in a Queue,70.5%,Hard,51.4,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
44,Find Minimum Diameter After Merging Two Trees,58.0%,Hard,51.4,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees,"Tree, Depth-First Search, Breadth-First Search, Graph"
45,Container With Most Water,57.2%,Medium,51.4,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
46,Set Matrix Zeroes,58.9%,Medium,51.4,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
