ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Merge Intervals,48.8%,Medium,100.0,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
2,Meeting Rooms II,51.9%,Medium,89.6,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
3,First Missing Positive,40.6%,Hard,87.8,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
4,Logger Rate Limiter,76.4%,Easy,85.9,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
5,Random Pick with Weight,48.2%,Medium,83.8,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
6,LRU Cache,44.4%,Medium,76.1,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
7,Top K Frequent Elements,64.1%,Medium,76.1,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
8,Flatten Nested List Iterator,65.2%,Medium,76.1,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
9,Summary Ranges,52.6%,Easy,72.7,https://leetcode.com/problems/summary-ranges,Array
10,Time Based Key-Value Store,49.4%,Medium,72.7,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
11,Insert Delete GetRandom O(1),54.9%,Medium,63.9,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
12,Reconstruct Itinerary,43.4%,Hard,57.7,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
13,Search in Rotated Sorted Array,42.3%,Medium,57.7,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
14,Daily Temperatures,67.0%,Medium,57.7,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
15,Kth Largest Element in an Array,67.6%,Medium,57.7,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
16,Course Schedule II,52.6%,Medium,57.7,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
17,Top K Frequent Words,58.9%,Medium,57.7,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
18,Spiral Matrix,52.9%,Medium,57.7,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
19,Best Time to Buy and Sell Stock,54.8%,Easy,57.7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
20,Contains Duplicate II,48.1%,Easy,48.9,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
21,Valid Parentheses,41.8%,Easy,48.9,https://leetcode.com/problems/valid-parentheses,"String, Stack"
22,Number of Flowers in Full Bloom,57.1%,Hard,48.9,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
23,Merge Sorted Array,52.3%,Easy,48.9,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
24,Cache With Time Limit,75.5%,Medium,48.9,https://leetcode.com/problems/cache-with-time-limit,
25,Coin Change,45.8%,Medium,48.9,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
26,Word Break,47.9%,Medium,48.9,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
27,Longest Substring Without Repeating Characters,36.3%,Medium,48.9,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
28,Minimum Remove to Make Valid Parentheses,70.2%,Medium,48.9,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
29,Implement Queue using Stacks,67.7%,Easy,48.9,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
30,Rotate Array,42.5%,Medium,48.9,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
31,Find Duplicate File in System,67.6%,Medium,48.9,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
32,Text Justification,47.1%,Hard,48.9,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
33,Rotate Image,77.2%,Medium,48.9,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
34,Generate Parentheses,76.5%,Medium,48.9,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
