ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Burst Balloons,60.6%,Hard,100.0,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
2,Number of Islands,61.6%,Medium,93.0,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
3,LRU Cache,44.4%,Medium,82.8,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
4,Trapping Rain Water,64.3%,Hard,82.8,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
5,Is Graph Bipartite?,57.2%,Medium,73.5,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union Find, Graph"
6,Best Time to Buy and Sell Stock,54.8%,Easy,73.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
7,Partition Array Into Two Arrays to Minimize Sum Difference,21.3%,Hard,69.3,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
8,Minimum Cost of a Path With Special Roads,40.7%,Medium,69.3,https://leetcode.com/problems/minimum-cost-of-a-path-with-special-roads,"Array, Graph, Heap (Priority Queue), Shortest Path"
9,Two Sum,55.1%,Easy,69.3,https://leetcode.com/problems/two-sum,"Array, Hash Table"
10,3Sum,36.4%,Medium,64.2,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
11,Palindrome Number,58.7%,Easy,64.2,https://leetcode.com/problems/palindrome-number,Math
12,Add Two Numbers,45.4%,Medium,57.6,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
13,Merge Intervals,48.8%,Medium,57.6,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
14,Make Sum Divisible by P,39.5%,Medium,57.6,https://leetcode.com/problems/make-sum-divisible-by-p,"Array, Hash Table, Prefix Sum"
15,Valid Parentheses,41.8%,Easy,57.6,https://leetcode.com/problems/valid-parentheses,"String, Stack"
