ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Median of Two Sorted Arrays,42.9%,Hard,100.0,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
2,Best Time to Buy and Sell Stock,54.8%,Easy,91.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
3,LRU Cache,44.4%,Medium,85.3,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
4,Time Based Key-Value Store,49.4%,Medium,77.7,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
5,Course Schedule,48.5%,Medium,77.7,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
6,Two Sum,55.1%,Easy,77.7,https://leetcode.com/problems/two-sum,"Array, Hash Table"
7,Search in Rotated Sorted Array,42.3%,Medium,77.7,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
8,Next Permutation,42.3%,Medium,77.7,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
9,Sort Colors,66.4%,Medium,67.1,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
10,Validate Binary Search Tree,34.0%,Medium,67.1,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
11,Construct Binary Tree from Preorder and Inorder Traversal,66.1%,Medium,67.1,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
12,Climbing Stairs,53.3%,Easy,67.1,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
13,Consecutive Numbers Sum,42.0%,Hard,67.1,https://leetcode.com/problems/consecutive-numbers-sum,"Math, Enumeration"
14,Reverse Nodes in k-Group,62.0%,Hard,67.1,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
15,Longest Common Prefix,44.9%,Easy,67.1,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
16,Make Array Non-decreasing or Non-increasing,65.3%,Hard,67.1,https://leetcode.com/problems/make-array-non-decreasing-or-non-increasing,"Dynamic Programming, Greedy"
17,Break a Palindrome,51.5%,Medium,67.1,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
18,Find Palindrome With Fixed Length,37.4%,Medium,67.1,https://leetcode.com/problems/find-palindrome-with-fixed-length,"Array, Math"
