ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Search Suggestions System,65.0%,Medium,100.0,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
2,Word Break,47.9%,Medium,94.0,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
3,Design a Text Editor,47.4%,Hard,74.9,https://leetcode.com/problems/design-a-text-editor,"Linked List, String, Stack, Design, Simulation, Doubly-Linked List"
4,Split Array Largest Sum,57.4%,Hard,74.9,https://leetcode.com/problems/split-array-largest-sum,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
5,Minimum Number of Taps to Open to Water a Garden,50.7%,Hard,74.9,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
6,Merge Intervals,48.8%,Medium,72.8,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
7,Beautiful Arrangement,64.5%,Medium,70.5,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
8,LRU Cache,44.4%,Medium,70.5,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
9,The kth Factor of n,69.3%,Medium,67.9,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory"
10,Longest Substring Without Repeating Characters,36.3%,Medium,67.9,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
11,Asteroid Collision,45.1%,Medium,67.9,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
12,Valid Parentheses,41.8%,Easy,67.9,https://leetcode.com/problems/valid-parentheses,"String, Stack"
13,Largest Number,40.9%,Medium,64.9,https://leetcode.com/problems/largest-number,"Array, String, Greedy, Sorting"
14,Trapping Rain Water,64.3%,Hard,61.5,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
15,Group Anagrams,70.3%,Medium,61.5,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
16,Kth Largest Element in an Array,67.6%,Medium,61.5,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
17,Number of Islands,61.6%,Medium,61.5,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
18,Integer to Roman,67.9%,Medium,61.5,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
19,3Sum,36.4%,Medium,61.5,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
20,Capacity To Ship Packages Within D Days,71.4%,Medium,61.5,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
21,Meeting Rooms II,51.9%,Medium,57.4,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
22,LFU Cache,45.8%,Hard,57.4,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
23,Task Scheduler,61.0%,Medium,57.4,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
24,Best Time to Buy and Sell Stock,54.8%,Easy,57.4,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
25,Binary Tree Maximum Path Sum,40.9%,Hard,57.4,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
