ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Sort Integers by The Number of 1 Bits,78.6%,Easy,100.0,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,"Array, Bit Manipulation, Sorting, Counting"
2,Reaching Points,33.6%,Hard,97.1,https://leetcode.com/problems/reaching-points,Math
3,Least Number of Unique Integers after K Removals,63.3%,Medium,96.0,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,"Array, Hash Table, Greedy, Sorting, Counting"
4,Remove Colored Pieces if Both Neighbors are the Same Color,62.9%,Medium,91.8,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,"Math, String, Greedy, Game Theory"
5,Minimum Suffix Flips,73.5%,Medium,88.9,https://leetcode.com/problems/minimum-suffix-flips,"String, Greedy"
6,Next Permutation,42.3%,Medium,88.1,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
7,Break a Palindrome,51.5%,Medium,87.3,https://leetcode.com/problems/break-a-palindrome,"String, Greedy"
8,Check Whether Two Strings are Almost Equivalent,64.0%,Easy,81.5,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent,"Hash Table, String, Counting"
9,Minimum Absolute Difference,70.3%,Easy,80.4,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
10,Valid Parentheses,41.8%,Easy,73.6,https://leetcode.com/problems/valid-parentheses,"String, Stack"
11,Group Anagrams,70.3%,Medium,73.6,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
12,Best Time to Buy and Sell Stock,54.8%,Easy,73.6,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
13,Determine Color of a Chessboard Square,79.1%,Easy,71.9,https://leetcode.com/problems/determine-color-of-a-chessboard-square,"Math, String"
14,Merge Intervals,48.8%,Medium,71.9,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
15,Numbers With Repeated Digits,42.9%,Hard,70.1,https://leetcode.com/problems/numbers-with-repeated-digits,"Math, Dynamic Programming"
16,Minimum Swaps to Make Strings Equal,64.5%,Medium,70.1,https://leetcode.com/problems/minimum-swaps-to-make-strings-equal,"Math, String, Greedy"
17,Display Table of Food Orders in a Restaurant,75.7%,Medium,68.1,https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant,"Array, Hash Table, String, Sorting, Ordered Set"
18,Maximum Number of Points From Grid Queries,39.5%,Hard,68.1,https://leetcode.com/problems/maximum-number-of-points-from-grid-queries,"Array, Two Pointers, Breadth-First Search, Union Find, Sorting, Heap (Priority Queue), Matrix"
19,Reverse Odd Levels of Binary Tree,86.7%,Medium,68.1,https://leetcode.com/problems/reverse-odd-levels-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
20,Check if Number Has Equal Digit Count and Digit Value,72.6%,Easy,68.1,https://leetcode.com/problems/check-if-number-has-equal-digit-count-and-digit-value,"Hash Table, String, Counting"
21,Lexicographically Smallest String After Applying Operations,66.1%,Medium,68.1,https://leetcode.com/problems/lexicographically-smallest-string-after-applying-operations,"String, Depth-First Search, Breadth-First Search, Enumeration"
22,Suspicious Bank Accounts,44.9%,Medium,68.1,https://leetcode.com/problems/suspicious-bank-accounts,Database
23,Lexicographically Smallest String After a Swap,53.9%,Easy,68.1,https://leetcode.com/problems/lexicographically-smallest-string-after-a-swap,"String, Greedy"
24,Button with Longest Push Time,40.7%,Easy,68.1,https://leetcode.com/problems/button-with-longest-push-time,Array
25,Climbing Stairs,53.3%,Easy,66.0,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
26,Pairs of Songs With Total Durations Divisible by 60,53.2%,Medium,66.0,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
27,Count Numbers with Unique Digits,54.0%,Medium,63.5,https://leetcode.com/problems/count-numbers-with-unique-digits,"Math, Dynamic Programming, Backtracking"
28,Longest Palindromic Substring,35.3%,Medium,63.5,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
29,Find Resultant Array After Removing Anagrams,59.2%,Easy,60.7,https://leetcode.com/problems/find-resultant-array-after-removing-anagrams,"Array, Hash Table, String, Sorting"
30,Subarray Sum Equals K,44.9%,Medium,57.5,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
31,Maximum Number of Events That Can Be Attended,32.7%,Medium,57.5,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,"Array, Greedy, Sorting, Heap (Priority Queue)"
32,Happy Number,57.6%,Easy,57.5,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
33,Generate Parentheses,76.5%,Medium,57.5,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
34,Fizz Buzz,73.9%,Easy,57.5,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
35,Longest Substring Without Repeating Characters,36.3%,Medium,53.7,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
36,Maximum Units on a Truck,74.0%,Easy,53.7,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
37,Two Sum,55.1%,Easy,53.7,https://leetcode.com/problems/two-sum,"Array, Hash Table"
38,Maximum Product of Two Elements in an Array,83.1%,Easy,53.7,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,"Array, Sorting, Heap (Priority Queue)"
39,Non-overlapping Intervals,54.9%,Medium,49.1,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
40,Minimum Cost to Connect Sticks,70.9%,Medium,49.1,https://leetcode.com/problems/minimum-cost-to-connect-sticks,"Array, Greedy, Heap (Priority Queue)"
41,Maximum Subarray,51.7%,Medium,49.1,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
42,Minimum Operations to Make All Array Elements Equal,36.6%,Medium,49.1,https://leetcode.com/problems/minimum-operations-to-make-all-array-elements-equal,"Array, Binary Search, Sorting, Prefix Sum"
43,Ugly Number,42.3%,Easy,43.2,https://leetcode.com/problems/ugly-number,Math
44,Minimum Cost to Make Array Equal,46.1%,Hard,43.2,https://leetcode.com/problems/minimum-cost-to-make-array-equal,"Array, Binary Search, Greedy, Sorting, Prefix Sum"
45,Best Time to Buy and Sell Stock II,68.9%,Medium,43.2,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
46,Daily Temperatures,67.0%,Medium,43.2,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
47,Integer to Roman,67.9%,Medium,34.9,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
48,Fibonacci Number,72.5%,Easy,34.9,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization"
49,Letter Combinations of a Phone Number,63.1%,Medium,34.9,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
50,Combination Sum,73.9%,Medium,34.9,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
51,"Pow(x, n)",36.5%,Medium,34.9,https://leetcode.com/problems/powx-n,"Math, Recursion"
52,Decode Ways,36.1%,Medium,34.9,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
53,Add Binary,55.2%,Easy,34.9,https://leetcode.com/problems/add-binary,"Math, String, Bit Manipulation, Simulation"
54,Open the Lock,60.6%,Medium,34.9,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
55,Minimum String Length After Removing Substrings,77.5%,Easy,34.9,https://leetcode.com/problems/minimum-string-length-after-removing-substrings,"String, Stack, Simulation"
56,Cherry Pickup,37.6%,Hard,34.9,https://leetcode.com/problems/cherry-pickup,"Array, Dynamic Programming, Matrix"
57,Reverse Integer,29.9%,Medium,34.9,https://leetcode.com/problems/reverse-integer,Math
58,Coin Change,45.8%,Medium,34.9,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
59,Degree of an Array,57.1%,Easy,34.9,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
60,Intersection of Two Arrays,76.0%,Easy,34.9,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
61,Pascal's Triangle,76.4%,Easy,34.9,https://leetcode.com/problems/pascals-triangle,"Array, Dynamic Programming"
62,Maximum Product Subarray,34.5%,Medium,34.9,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
63,Sum of Subarray Ranges,60.2%,Medium,34.9,https://leetcode.com/problems/sum-of-subarray-ranges,"Array, Stack, Monotonic Stack"
64,Count Strictly Increasing Subarrays,71.3%,Medium,34.9,https://leetcode.com/problems/count-strictly-increasing-subarrays,"Array, Math, Dynamic Programming"
65,Binary Tree Right Side View,65.6%,Medium,34.9,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
66,Reverse Linked List,78.7%,Easy,34.9,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
67,Contains Duplicate,62.8%,Easy,34.9,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
68,Reconstruct Original Digits from English,51.5%,Medium,34.9,https://leetcode.com/problems/reconstruct-original-digits-from-english,"Hash Table, Math, String"
69,Valid Anagram,66.2%,Easy,34.9,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
70,Search Suggestions System,65.0%,Medium,34.9,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
71,Find the Duplicate Number,62.3%,Medium,34.9,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
72,Minimum Insertions to Balance a Parentheses String,53.0%,Medium,34.9,https://leetcode.com/problems/minimum-insertions-to-balance-a-parentheses-string,"String, Stack, Greedy"
