ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Burst Balloons,60.6%,Hard,100.0,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
2,Number of Islands,61.6%,Medium,89.3,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
3,Partition Array Into Two Arrays to Minimize Sum Difference,21.3%,Hard,87.6,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
4,Minimum Cost of a Path With Special Roads,40.7%,Medium,87.6,https://leetcode.com/problems/minimum-cost-of-a-path-with-special-roads,"Array, Graph, Heap (Priority Queue), Shortest Path"
5,Longest Increasing Subsequence,57.2%,Medium,85.7,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
6,LRU Cache,44.4%,Medium,85.7,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
7,Vertical Order Traversal of a Binary Tree,50.4%,Hard,83.6,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
8,Minimize Deviation in Array,54.0%,Hard,83.6,https://leetcode.com/problems/minimize-deviation-in-array,"Array, Greedy, Heap (Priority Queue), Ordered Set"
9,Trapping Rain Water,64.3%,Hard,83.6,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
10,Maximum Height by Stacking Cuboids ,59.5%,Hard,83.6,https://leetcode.com/problems/maximum-height-by-stacking-cuboids,"Array, Dynamic Programming, Sorting"
11,Number of Nodes in the Sub-Tree With the Same Label,55.0%,Medium,81.3,https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Counting"
12,Stone Game IX,29.1%,Medium,81.3,https://leetcode.com/problems/stone-game-ix,"Array, Math, Greedy, Counting, Game Theory"
13,Maximum Product of Two Elements in an Array,83.1%,Easy,81.3,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,"Array, Sorting, Heap (Priority Queue)"
14,Find the Width of Columns of a Grid,68.8%,Easy,81.3,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
