ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Minimum Number of Taps to Open to Water a Garden,50.7%,Hard,100.0,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,"Array, Dynamic Programming, Greedy"
2,Course Schedule II,52.6%,Medium,88.5,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
3,Product of Array Except Self,67.4%,Medium,83.8,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
4,Rotting Oranges,56.0%,Medium,81.1,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
5,LRU Cache,44.4%,Medium,78.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
6,Sudoku Solver,63.7%,Hard,78.0,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
7,Logger Rate Limiter,76.4%,Easy,70.1,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
8,Longest Substring Without Repeating Characters,36.3%,Medium,70.1,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
9,3Sum,36.4%,Medium,65.0,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
10,Most Profitable Path in a Tree,68.1%,Medium,65.0,https://leetcode.com/problems/most-profitable-path-in-a-tree,"Array, Tree, Depth-First Search, Breadth-First Search, Graph"
11,Spiral Matrix,52.9%,Medium,65.0,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
12,Two Sum,55.1%,Easy,65.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
13,Longest Increasing Subsequence,57.2%,Medium,65.0,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
14,Trapping Rain Water,64.3%,Hard,65.0,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
15,Unique Email Addresses,67.5%,Easy,58.3,https://leetcode.com/problems/unique-email-addresses,"Array, Hash Table, String"
16,Valid Parentheses,41.8%,Easy,58.3,https://leetcode.com/problems/valid-parentheses,"String, Stack"
17,House Robber,52.0%,Medium,58.3,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
18,Generate Parentheses,76.5%,Medium,58.3,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
19,Top K Frequent Elements,64.1%,Medium,58.3,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
20,Min Stack,55.9%,Medium,58.3,https://leetcode.com/problems/min-stack,"Stack, Design"
21,Heaters,39.4%,Medium,58.3,https://leetcode.com/problems/heaters,"Array, Two Pointers, Binary Search, Sorting"
22,132 Pattern,33.9%,Medium,58.3,https://leetcode.com/problems/132-pattern,"Array, Binary Search, Stack, Monotonic Stack, Ordered Set"
23,Insert Delete GetRandom O(1),54.9%,Medium,58.3,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
24,Best Time to Buy and Sell Stock,54.8%,Easy,58.3,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
25,Group Anagrams,70.3%,Medium,58.3,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
26,Basic Calculator IV,54.8%,Hard,48.9,https://leetcode.com/problems/basic-calculator-iv,"Hash Table, Math, String, Stack, Recursion"
27,Number of Distinct Substrings in a String,64.4%,Medium,48.9,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,"String, Trie, Rolling Hash, Suffix Array, Hash Function"
28,Length of the Longest Subsequence That Sums to Target,36.7%,Medium,48.9,https://leetcode.com/problems/length-of-the-longest-subsequence-that-sums-to-target,"Array, Dynamic Programming"
29,Make String Anti-palindrome,42.3%,Hard,48.9,https://leetcode.com/problems/make-string-anti-palindrome,"String, Greedy, Sorting, Counting Sort"
30,Number of Substrings With Fixed Ratio,55.5%,Medium,48.9,https://leetcode.com/problems/number-of-substrings-with-fixed-ratio,"Hash Table, Math, String, Prefix Sum"
31,Maximum Total Beauty of the Gardens,29.8%,Hard,48.9,https://leetcode.com/problems/maximum-total-beauty-of-the-gardens,"Array, Two Pointers, Binary Search, Greedy, Sorting"
32,Maximum Product of Three Numbers,45.2%,Easy,48.9,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
33,Destroy Sequential Targets,40.2%,Medium,48.9,https://leetcode.com/problems/destroy-sequential-targets,"Array, Hash Table, Counting"
34,Max Area of Island,72.9%,Medium,48.9,https://leetcode.com/problems/max-area-of-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
35,Median of Two Sorted Arrays,42.9%,Hard,48.9,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
36,Maximum Difference Score in a Grid,47.0%,Medium,48.9,https://leetcode.com/problems/maximum-difference-score-in-a-grid,"Array, Dynamic Programming, Matrix"
37,Climbing Stairs,53.3%,Easy,48.9,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
38,Number of Operations to Make Network Connected,64.1%,Medium,48.9,https://leetcode.com/problems/number-of-operations-to-make-network-connected,"Depth-First Search, Breadth-First Search, Union Find, Graph"
39,Get the Maximum Score,39.8%,Hard,48.9,https://leetcode.com/problems/get-the-maximum-score,"Array, Two Pointers, Dynamic Programming, Greedy"
40,Find All Anagrams in a String,51.8%,Medium,48.9,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
41,Palindrome Linked List,55.2%,Easy,48.9,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
42,Design Circular Queue,52.4%,Medium,48.9,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
43,Middle of the Linked List,80.1%,Easy,48.9,https://leetcode.com/problems/middle-of-the-linked-list,"Linked List, Two Pointers"
44,Binary Tree Level Order Traversal,69.8%,Medium,48.9,https://leetcode.com/problems/binary-tree-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
45,Minimum Cost For Tickets,67.4%,Medium,48.9,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
46,Shortest Path in Binary Matrix,49.2%,Medium,48.9,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
47,Course Schedule,48.5%,Medium,48.9,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
48,Decode String,60.7%,Medium,48.9,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
49,Merge Two Sorted Lists,66.3%,Easy,48.9,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
50,Serialize and Deserialize Binary Tree,58.4%,Hard,48.9,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
51,Largest Plus Sign,48.6%,Medium,48.9,https://leetcode.com/problems/largest-plus-sign,"Array, Dynamic Programming"
52,Task Scheduler,61.0%,Medium,48.9,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
53,Pacific Atlantic Water Flow,56.9%,Medium,48.9,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
54,Number of Islands,61.6%,Medium,48.9,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
55,Merge Sorted Array,52.3%,Easy,48.9,https://leetcode.com/problems/merge-sorted-array,"Array, Two Pointers, Sorting"
