ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Best Time to Buy and Sell Stock,54.8%,Easy,100.0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
2,Merge Intervals,48.8%,Medium,89.4,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
3,Two Sum,55.1%,Easy,89.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
4,Valid Parentheses,41.8%,Easy,78.9,https://leetcode.com/problems/valid-parentheses,"String, Stack"
5,Jump Game,39.1%,Medium,78.9,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
6,Longest Substring Without Repeating Characters,36.3%,Medium,78.9,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
7,LRU Cache,44.4%,Medium,78.9,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
8,Minimum Cost to Move Chips to The Same Position,72.1%,Easy,71.4,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Array, Math, Greedy"
9,Minimum Number of Refueling Stops,40.4%,Hard,71.4,https://leetcode.com/problems/minimum-number-of-refueling-stops,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)"
10,Longest Palindromic Substring,35.3%,Medium,71.4,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
11,Find The Original Array of Prefix Xor,88.1%,Medium,71.4,https://leetcode.com/problems/find-the-original-array-of-prefix-xor,"Array, Bit Manipulation"
12,First Missing Positive,40.6%,Hard,71.4,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
13,Count of Range Sum,36.6%,Hard,60.9,https://leetcode.com/problems/count-of-range-sum,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
14,Minimum Number of Lines to Cover Points,42.7%,Medium,60.9,https://leetcode.com/problems/minimum-number-of-lines-to-cover-points,"Array, Hash Table, Math, Dynamic Programming, Backtracking, Bit Manipulation, Geometry, Bitmask"
15,Find the Longest Valid Obstacle Course at Each Position,62.8%,Hard,60.9,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,"Array, Binary Search, Binary Indexed Tree"
16,Best Team With No Conflicts,50.4%,Medium,60.9,https://leetcode.com/problems/best-team-with-no-conflicts,"Array, Dynamic Programming, Sorting"
17,Find Subarrays With Equal Sum,65.9%,Easy,60.9,https://leetcode.com/problems/find-subarrays-with-equal-sum,"Array, Hash Table"
18,The Employee That Worked on the Longest Task,50.6%,Easy,60.9,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task,Array
19,Subarray Sum Equals K,44.9%,Medium,60.9,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
20,Count Binary Substrings,65.8%,Easy,60.9,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String"
21,Next Greater Element I,73.9%,Easy,60.9,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
22,Unique Paths,65.4%,Medium,60.9,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
23,Sort Colors,66.4%,Medium,60.9,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
24,Number of Closed Islands,66.7%,Medium,60.9,https://leetcode.com/problems/number-of-closed-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
25,Count of Integers,35.2%,Hard,60.9,https://leetcode.com/problems/count-of-integers,"Math, String, Dynamic Programming"
26,Reverse Words in a String,50.1%,Medium,60.9,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
27,Subtree of Another Tree,49.5%,Easy,60.9,https://leetcode.com/problems/subtree-of-another-tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function"
28,Reverse String,79.5%,Easy,60.9,https://leetcode.com/problems/reverse-string,"Two Pointers, String"
29,Steps to Make Array Non-decreasing,22.8%,Medium,60.9,https://leetcode.com/problems/steps-to-make-array-non-decreasing,"Array, Linked List, Stack, Monotonic Stack"
30,Lowest Common Ancestor of a Binary Tree,65.7%,Medium,60.9,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Tree, Depth-First Search, Binary Tree"
31,House Robber,52.0%,Medium,60.9,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
32,Copy List with Random Pointer,59.5%,Medium,60.9,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
33,Best Time to Buy and Sell Stock II,68.9%,Medium,60.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
34,Decode Ways,36.1%,Medium,60.9,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
35,Sqrt(x),40.0%,Easy,60.9,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
36,Rotate List,39.4%,Medium,60.9,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
37,Maximum Subarray,51.7%,Medium,60.9,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
38,Count Subarrays With Fixed Bounds,67.7%,Hard,60.9,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,"Array, Queue, Sliding Window, Monotonic Queue"
