ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,LRU Cache,44.4%,Medium,100.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
2,Smallest Subsequence of Distinct Characters,61.7%,Medium,88.3,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters,"String, Stack, Greedy, Monotonic Stack"
3,First Day Where You Have Been in All the Rooms,37.7%,Medium,86.1,https://leetcode.com/problems/first-day-where-you-have-been-in-all-the-rooms,"Array, Dynamic Programming"
4,Remove Duplicate Letters,50.8%,Medium,86.1,https://leetcode.com/problems/remove-duplicate-letters,"String, Stack, Greedy, Monotonic Stack"
5,Number of Islands,61.6%,Medium,80.8,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
6,Longest Substring Without Repeating Characters,36.3%,Medium,77.6,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
7,Delete Operation for Two Strings,63.3%,Medium,74.0,https://leetcode.com/problems/delete-operation-for-two-strings,"String, Dynamic Programming"
8,Kth Largest Element in an Array,67.6%,Medium,69.7,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
9,Course Schedule,48.5%,Medium,69.7,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
10,Trapping Rain Water,64.3%,Hard,64.4,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
11,Basic Calculator II,45.3%,Medium,64.4,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
12,Regular Expression Matching,29.0%,Hard,64.4,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
13,House Robber II,43.1%,Medium,64.4,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
14,Number of Good Leaf Nodes Pairs,71.9%,Medium,64.4,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs,"Tree, Depth-First Search, Binary Tree"
15,House Robber,52.0%,Medium,64.4,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
16,Combination Sum,73.9%,Medium,64.4,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
17,Climbing Stairs,53.3%,Easy,57.6,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
18,Rotting Oranges,56.0%,Medium,57.6,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
19,Longest Common Subsequence,58.0%,Medium,57.6,https://leetcode.com/problems/longest-common-subsequence,"String, Dynamic Programming"
20,Sum Game,48.2%,Medium,57.6,https://leetcode.com/problems/sum-game,"Math, String, Greedy, Game Theory"
21,Decode String,60.7%,Medium,57.6,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
22,Insert Delete GetRandom O(1),54.9%,Medium,57.6,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
23,Two Sum,55.1%,Easy,57.6,https://leetcode.com/problems/two-sum,"Array, Hash Table"
24,Combination Sum II,57.2%,Medium,57.6,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
25,Maximal Square,48.2%,Medium,57.6,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
26,Best Time to Buy and Sell Stock,54.8%,Easy,57.6,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
27,Longest Palindromic Substring,35.3%,Medium,57.6,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
