ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Smallest Range Covering Elements from K Lists,69.8%,Hard,100.0,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
2,Shortest Bridge,58.3%,Medium,97.5,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
3,Trapping Rain Water,64.3%,Hard,94.8,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
4,Maximum Points You Can Obtain from Cards,54.9%,Medium,89.9,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,"Array, Sliding Window, Prefix Sum"
5,Container With Most Water,57.2%,Medium,86.1,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
6,Minimum Number of Coins to be Added,57.1%,Medium,84.0,https://leetcode.com/problems/minimum-number-of-coins-to-be-added,"Array, Greedy, Sorting"
7,Minimum Cost to Reach City With Discounts,59.8%,Medium,81.6,https://leetcode.com/problems/minimum-cost-to-reach-city-with-discounts,"Graph, Heap (Priority Queue), Shortest Path"
8,The Score of Students Solving Math Expression,33.3%,Hard,81.6,https://leetcode.com/problems/the-score-of-students-solving-math-expression,"Array, Math, String, Dynamic Programming, Stack, Memoization"
9,Design Movie Rental System,37.0%,Hard,81.6,https://leetcode.com/problems/design-movie-rental-system,"Array, Hash Table, Design, Heap (Priority Queue), Ordered Set"
10,Minimum Limit of Balls in a Bag,67.8%,Medium,81.6,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag,"Array, Binary Search"
11,Asteroid Collision,45.1%,Medium,81.6,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
12,Numbers With Same Consecutive Differences,58.6%,Medium,81.6,https://leetcode.com/problems/numbers-with-same-consecutive-differences,"Backtracking, Breadth-First Search"
13,Triples with Bitwise AND Equal To Zero,59.1%,Hard,81.6,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero,"Array, Hash Table, Bit Manipulation"
14,Minimum Total Cost to Make Arrays Unequal,41.6%,Hard,79.0,https://leetcode.com/problems/minimum-total-cost-to-make-arrays-unequal,"Array, Hash Table, Greedy, Counting"
15,Capacity To Ship Packages Within D Days,71.4%,Medium,79.0,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
16,Longest Substring Without Repeating Characters,36.3%,Medium,79.0,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
17,Koko Eating Bananas,48.8%,Medium,76.1,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
18,Binary Tree Maximum Path Sum,40.9%,Hard,76.1,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
19,Cherry Pickup II,71.9%,Hard,72.8,https://leetcode.com/problems/cherry-pickup-ii,"Array, Dynamic Programming, Matrix"
20,Minimum Adjacent Swaps for K Consecutive Ones,42.3%,Hard,72.8,https://leetcode.com/problems/minimum-adjacent-swaps-for-k-consecutive-ones,"Array, Greedy, Sliding Window, Prefix Sum"
21,Strong Password Checker,14.4%,Hard,68.9,https://leetcode.com/problems/strong-password-checker,"String, Greedy, Heap (Priority Queue)"
22,Create Maximum Number,31.8%,Hard,68.9,https://leetcode.com/problems/create-maximum-number,"Array, Two Pointers, Stack, Greedy, Monotonic Stack"
23,Product of Array Except Self,67.4%,Medium,68.9,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
24,Decode Ways,36.1%,Medium,68.9,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
25,Number of Islands,61.6%,Medium,68.9,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
26,Course Schedule,48.5%,Medium,64.4,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
27,Two Sum,55.1%,Easy,64.4,https://leetcode.com/problems/two-sum,"Array, Hash Table"
28,Find K-th Smallest Pair Distance,45.6%,Hard,58.9,https://leetcode.com/problems/find-k-th-smallest-pair-distance,"Array, Two Pointers, Binary Search, Sorting"
29,Edit Distance,58.2%,Medium,58.9,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
30,Dungeon Game,39.1%,Hard,58.9,https://leetcode.com/problems/dungeon-game,"Array, Dynamic Programming, Matrix"
31,Maximum Profit in Job Scheduling,54.3%,Hard,58.9,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
32,Binary Tree Zigzag Level Order Traversal,61.0%,Medium,58.9,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,"Tree, Breadth-First Search, Binary Tree"
33,Candy,44.4%,Hard,58.9,https://leetcode.com/problems/candy,"Array, Greedy"
34,Search in Rotated Sorted Array,42.3%,Medium,58.9,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
35,Partition Equal Subset Sum,47.2%,Medium,58.9,https://leetcode.com/problems/partition-equal-subset-sum,"Array, Dynamic Programming"
36,Merge Two Sorted Lists,66.3%,Easy,58.9,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
37,Word Break,47.9%,Medium,51.9,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
38,Cut Off Trees for Golf Event,35.1%,Hard,51.9,https://leetcode.com/problems/cut-off-trees-for-golf-event,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
39,Subarray Sum Equals K,44.9%,Medium,51.9,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
