ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Design In-Memory File System,48.0%,Hard,100.0,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
2,Find All Anagrams in a String,51.8%,Medium,89.8,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
3,Maximum Profit in Job Scheduling,54.3%,Hard,85.1,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
4,Reverse Nodes in k-Group,62.0%,Hard,82.3,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
5,Number of Ways to Form a Target String Given a Dictionary,57.3%,Hard,82.3,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Array, String, Dynamic Programming"
6,String Transformation,30.7%,Hard,79.2,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
7,Happy Number,57.6%,Easy,75.6,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
8,Painting the Walls,50.3%,Hard,75.6,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
9,Boundary of Binary Tree,46.8%,Medium,75.6,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
10,Basic Calculator,44.9%,Hard,71.3,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
11,Course Schedule II,52.6%,Medium,71.3,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
12,Populating Next Right Pointers in Each Node II,54.9%,Medium,71.3,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
13,Encode and Decode Strings,49.0%,Medium,71.3,https://leetcode.com/problems/encode-and-decode-strings,"Array, String, Design"
14,Parallel Courses III,66.8%,Hard,71.3,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
15,Calculate Amount Paid in Taxes,67.0%,Easy,66.1,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
16,Word Search II,37.0%,Hard,66.1,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
17,Populating Next Right Pointers in Each Node,64.8%,Medium,66.1,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
18,Graph Valid Tree,49.1%,Medium,66.1,https://leetcode.com/problems/graph-valid-tree,"Depth-First Search, Breadth-First Search, Union Find, Graph"
19,Swap Nodes in Pairs,66.5%,Medium,66.1,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
20,Regular Expression Matching,29.0%,Hard,66.1,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
21,Design Hit Counter,69.0%,Medium,66.1,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
