ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Minimum Operations to Form Subsequence With Target Sum,32.2%,Hard,100.0,https://leetcode.com/problems/minimum-operations-to-form-subsequence-with-target-sum,"Array, Greedy, Bit Manipulation"
2,Scramble String,41.7%,Hard,98.4,https://leetcode.com/problems/scramble-string,"String, Dynamic Programming"
3,Count the Number of Square-Free Subsets,24.4%,Medium,88.2,https://leetcode.com/problems/count-the-number-of-square-free-subsets,"Array, Math, Dynamic Programming, Bit Manipulation, Bitmask"
4,Best Time to Buy and Sell Stock,54.8%,Easy,85.4,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
5,Substring with Concatenation of All Words,32.8%,Hard,82.3,https://leetcode.com/problems/substring-with-concatenation-of-all-words,"Hash Table, String, Sliding Window"
6,Flatten Binary Tree to Linked List,67.7%,Medium,82.3,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Linked List, Stack, Tree, Depth-First Search, Binary Tree"
7,Merge Two Sorted Lists,66.3%,Easy,78.8,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
8,Painting the Walls,50.3%,Hard,74.5,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
9,Jump Game,39.1%,Medium,69.4,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
10,Fizz Buzz,73.9%,Easy,69.4,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
11,Maximum Genetic Difference Query,43.6%,Hard,69.4,https://leetcode.com/problems/maximum-genetic-difference-query,"Array, Hash Table, Bit Manipulation, Depth-First Search, Trie"
12,Binary Search Tree Iterator,74.2%,Medium,62.7,https://leetcode.com/problems/binary-search-tree-iterator,"Stack, Tree, Design, Binary Search Tree, Binary Tree, Iterator"
13,LRU Cache,44.4%,Medium,62.7,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
14,Minimum Time Visiting All Points,82.5%,Easy,62.7,https://leetcode.com/problems/minimum-time-visiting-all-points,"Array, Math, Geometry"
15,Valid Phone Numbers,27.0%,Easy,62.7,https://leetcode.com/problems/valid-phone-numbers,Shell
16,Furthest Building You Can Reach,50.1%,Medium,62.7,https://leetcode.com/problems/furthest-building-you-can-reach,"Array, Greedy, Heap (Priority Queue)"
17,Best Time to Buy and Sell Stock II,68.9%,Medium,62.7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
18,Number of Submatrices That Sum to Target,74.4%,Hard,62.7,https://leetcode.com/problems/number-of-submatrices-that-sum-to-target,"Array, Hash Table, Matrix, Prefix Sum"
19,The Number of Good Subsets,35.7%,Hard,62.7,https://leetcode.com/problems/the-number-of-good-subsets,"Array, Math, Dynamic Programming, Bit Manipulation, Bitmask"
20,Valid Sudoku,61.7%,Medium,62.7,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
21,Minimum Cost to Buy Apples,67.2%,Medium,53.4,https://leetcode.com/problems/minimum-cost-to-buy-apples,"Array, Graph, Heap (Priority Queue), Shortest Path"
22,Minimum XOR Sum of Two Arrays,48.7%,Hard,53.4,https://leetcode.com/problems/minimum-xor-sum-of-two-arrays,"Array, Dynamic Programming, Bit Manipulation, Bitmask"
23,Make the XOR of All Segments Equal to Zero,39.9%,Hard,53.4,https://leetcode.com/problems/make-the-xor-of-all-segments-equal-to-zero,"Array, Dynamic Programming, Bit Manipulation"
24,Queens That Can Attack the King,72.1%,Medium,53.4,https://leetcode.com/problems/queens-that-can-attack-the-king,"Array, Matrix, Simulation"
25,Maximum Value of an Ordered Triplet I,46.4%,Easy,53.4,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-i,Array
26,Maximum Value of an Ordered Triplet II,41.0%,Medium,53.4,https://leetcode.com/problems/maximum-value-of-an-ordered-triplet-ii,Array
27,Sum of Remoteness of All Cells,70.8%,Medium,53.4,https://leetcode.com/problems/sum-of-remoteness-of-all-cells,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Matrix"
28,Longest Palindromic Substring,35.3%,Medium,53.4,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
29,Sum of Distances in Tree,65.3%,Hard,53.4,https://leetcode.com/problems/sum-of-distances-in-tree,"Dynamic Programming, Tree, Depth-First Search, Graph"
30,Difference Between Maximum and Minimum Price Sum,32.1%,Hard,53.4,https://leetcode.com/problems/difference-between-maximum-and-minimum-price-sum,"Array, Dynamic Programming, Tree, Depth-First Search"
31,Minimum Total Space Wasted With K Resizing Operations,43.5%,Medium,53.4,https://leetcode.com/problems/minimum-total-space-wasted-with-k-resizing-operations,"Array, Dynamic Programming"
32,Sliding Window Maximum,47.2%,Hard,53.4,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
33,Merge Intervals,48.8%,Medium,53.4,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
34,All O`one Data Structure,44.8%,Hard,53.4,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
35,Majority Element,65.5%,Easy,53.4,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
36,Trapping Rain Water,64.3%,Hard,53.4,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
37,Search in Rotated Sorted Array,42.3%,Medium,53.4,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
38,Maximum XOR of Two Non-Overlapping Subtrees,48.5%,Hard,53.4,https://leetcode.com/problems/maximum-xor-of-two-non-overlapping-subtrees,"Tree, Depth-First Search, Graph, Trie"
