ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Longest Univalue Path,42.3%,Medium,100.0,https://leetcode.com/problems/longest-univalue-path,"Tree, Depth-First Search, Binary Tree"
2,Path Sum III,46.0%,Medium,100.0,https://leetcode.com/problems/path-sum-iii,"Tree, Depth-First Search, Binary Tree"
3,Merge Intervals,48.8%,Medium,93.4,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
4,Car Pooling,56.0%,Medium,84.9,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
5,Largest Rectangle in Histogram,46.6%,Hard,84.9,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
6,Find Peak Element,46.3%,Medium,84.9,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
7,Minimum Cost For Tickets,67.4%,Medium,84.9,https://leetcode.com/problems/minimum-cost-for-tickets,"Array, Dynamic Programming"
8,Longest Consecutive Sequence,47.2%,Medium,84.9,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
9,Koko Eating Bananas,48.8%,Medium,84.9,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
10,Longest Palindromic Substring,35.3%,Medium,73.0,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
11,Unique Paths II,42.8%,Medium,73.0,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
12,Number of Islands,61.6%,Medium,73.0,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
13,Rotting Oranges,56.0%,Medium,73.0,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
14,Divide Two Integers,18.1%,Medium,73.0,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
15,Maximum Width Ramp,55.6%,Medium,73.0,https://leetcode.com/problems/maximum-width-ramp,"Array, Two Pointers, Stack, Monotonic Stack"
16,Longest Repeating Character Replacement,56.4%,Medium,73.0,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
17,Word Search,44.6%,Medium,73.0,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
18,Search in Rotated Sorted Array,42.3%,Medium,73.0,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
19,Gas Station,46.0%,Medium,73.0,https://leetcode.com/problems/gas-station,"Array, Greedy"
20,Rabbits in Forest,52.7%,Medium,73.0,https://leetcode.com/problems/rabbits-in-forest,"Array, Hash Table, Math, Greedy"
21,Count Sub Islands,72.8%,Medium,73.0,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
22,Make Array Empty,25.4%,Hard,73.0,https://leetcode.com/problems/make-array-empty,"Array, Binary Search, Greedy, Binary Indexed Tree, Segment Tree, Sorting, Ordered Set"
23,Find the Distance Value Between Two Arrays,69.8%,Easy,73.0,https://leetcode.com/problems/find-the-distance-value-between-two-arrays,"Array, Two Pointers, Binary Search, Sorting"
24,LRU Cache,44.4%,Medium,73.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
25,Open the Lock,60.6%,Medium,73.0,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
26,Maximum Sum BST in Binary Tree,43.3%,Hard,73.0,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree,"Dynamic Programming, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
27,Jump Game II,41.1%,Medium,73.0,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
28,Trapping Rain Water,64.3%,Hard,73.0,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
29,Next Permutation,42.3%,Medium,73.0,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
