ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Merge Intervals,48.8%,Medium,100.0,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
2,Remove All Adjacent Duplicates In String,71.1%,Easy,95.5,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,"String, Stack"
3,Remove All Adjacent Duplicates in String II,59.1%,Medium,89.8,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,"String, Stack"
4,Insert Delete GetRandom O(1),54.9%,Medium,84.3,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
5,Generate Parentheses,76.5%,Medium,79.6,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
6,Search in Rotated Sorted Array,42.3%,Medium,79.6,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
7,Sqrt(x),40.0%,Easy,73.5,https://leetcode.com/problems/sqrtx,"Math, Binary Search"
8,Vowel Spellchecker,51.5%,Medium,73.5,https://leetcode.com/problems/vowel-spellchecker,"Array, Hash Table, String"
9,Perfect Number,44.0%,Easy,69.6,https://leetcode.com/problems/perfect-number,Math
10,Word Break II,52.9%,Hard,69.6,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
11,Repeated DNA Sequences,50.7%,Medium,69.6,https://leetcode.com/problems/repeated-dna-sequences,"Hash Table, String, Bit Manipulation, Sliding Window, Rolling Hash, Hash Function"
12,Climbing Stairs,53.3%,Easy,69.6,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
13,Backspace String Compare,49.4%,Easy,69.6,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
14,Word Break,47.9%,Medium,64.9,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
15,Word Search,44.6%,Medium,64.9,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
16,Number of Islands,61.6%,Medium,58.8,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
17,Sum of Left Leaves,61.4%,Easy,58.8,https://leetcode.com/problems/sum-of-left-leaves,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
18,Implement Trie (Prefix Tree),67.4%,Medium,58.8,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
19,Logger Rate Limiter,76.4%,Easy,50.3,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
20,Special Binary String,63.3%,Hard,50.3,https://leetcode.com/problems/special-binary-string,"String, Recursion"
21,Decode the Slanted Ciphertext,49.0%,Medium,50.3,https://leetcode.com/problems/decode-the-slanted-ciphertext,"String, Simulation"
22,Evaluate Reverse Polish Notation,54.1%,Medium,50.3,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
23,Set Mismatch,44.8%,Easy,50.3,https://leetcode.com/problems/set-mismatch,"Array, Hash Table, Bit Manipulation, Sorting"
24,Maximum Palindromes After Operations,43.2%,Medium,50.3,https://leetcode.com/problems/maximum-palindromes-after-operations,"Array, Hash Table, String, Greedy, Sorting, Counting"
25,Sleep,87.7%,Easy,50.3,https://leetcode.com/problems/sleep,
26,Clone Graph,61.2%,Medium,50.3,https://leetcode.com/problems/clone-graph,"Hash Table, Depth-First Search, Breadth-First Search, Graph"
