question_id,company,company_industry,role,category,subcategory,difficulty,industry,question,short_answer,detailed_answer,strong_answer_signals,common_mistakes,follow_ups,evaluation_rubric,skills,tags,interview_stage,expected_time,source,license_usage_rights,quality_status,last_reviewed
MIMIR-0001,Google,Technology,Company-specific / Cross-functional,Behavioral,Behavioral,Easy,Technology,"Tell me about a time you had to learn something quickly to deliver an important result., using an example relevant to Google's business context?","I would describe a specific situation where I had to rapidly acquire a new skill or knowledge area to complete an important task. I would focus on what I learned, how I approached the learning efficiently, and what result I achieved. In a Google context, a good example might relate to picking up knowledge about Search or a new domain quickly under a deadline.","**What the interviewer wants to know:**
The interviewer wants to see that you can learn independently and rapidly when needed, and that you take ownership rather than waiting to be taught.

**How to structure your answer (STAR):**
- **Situation:** Set the scene. Describe a real project or role where a knowledge gap existed. For Google, this could involve learning about technology dynamics, a new technology, or a business domain.
- **Task:** What was at stake? Why did this matter?
- **Action:** Explain *how* you learned quickly. Did you read documentation, shadow experts, do focused online research, or run quick experiments? Show you were proactive and methodical.
- **Result:** What did you deliver? Quantify if possible (delivered in 2 weeks, reduced errors by X%).

**What makes a strong answer:**
- Shows a deliberate learning strategy, not just ""I Googled it""
- Connects the learning to a concrete outcome
- Demonstrates intellectual curiosity and resourcefulness
- Keep the story concise — 2 minutes maximum","[""Describes a specific, credible learning situation"", ""Explains a deliberate and efficient learning approach"", ""Connects learning to a measurable or clear outcome"", ""Shows intellectual curiosity and self-direction"", ""Keeps the story focused and under 2 minutes""]","[""Describing learning a tool rather than real domain knowledge or judgment"", ""Giving a vague answer without a concrete example"", ""Not explaining how they learned, only what they learned"", ""Spending too long on context and not enough on the result"", ""Choosing an irrelevant or trivial example""]","[""What was the hardest part of learning that quickly?"", ""How did that experience change how you approach unfamiliar problems?"", ""Would you have done anything differently with more time?"", ""Have you had to apply that knowledge again since?""]","1: Gives a vague or generic response with no clear example. 2: Provides an example but does not explain the learning approach. 3: Describes a specific situation and a reasonable learning approach with a clear result. 4: Gives a compelling example, explains a deliberate learning strategy, and quantifies the outcome. 5: Delivers a structured STAR answer that demonstrates intellectual curiosity, a clear methodology, and a strong measurable impact relevant to the company's business context.",,"google,behavioral",To be reviewed,5-15 min,Draft MimirNest company-contextualized prompt,Original draft prompt; verify any external company-specific attribution before publication,ai_draft_review_required,2026-09-12
MIMIR-0002,Google,Technology,Company-specific / Cross-functional,Behavioral,Behavioral,Medium,Technology,"Tell me about a time you influenced a stakeholder who initially disagreed with you., using an example relevant to Google's business context?","I would describe a situation where I needed to change someone's mind using evidence, empathy, and clear reasoning rather than authority. At a company like Google, stakeholder alignment is critical — so I would show how I first understood the other person's concerns, then addressed them with data or a clear business case.","**What the interviewer wants to know:**
The interviewer wants to see that you can work across teams and win people over without relying on hierarchy. At Google, this matters because decisions involve multiple stakeholders with competing priorities.

**How to structure your answer (STAR):**
- **Situation:** Describe a real disagreement. Who was the stakeholder and what was at stake?
- **Task:** What outcome were you trying to achieve, and why did it matter?
- **Action:** How did you approach the conversation? Did you listen first, address their concerns, provide data, find a compromise, or involve a third party?
- **Result:** What happened? Did you reach agreement? What did the project achieve?

**Key elements of a strong answer:**
- Show you listened to and respected the other person's view before pushing your own
- Demonstrate use of evidence, logic, or a clear business case
- Avoid making the other person look bad — frame as a productive collaboration
- Show the outcome was positive for both parties","[""Shows empathy and active listening before pushing their own position"", ""Uses data, logic, or a clear business case to influence"", ""Acknowledges the other person's valid concerns"", ""Reaches a resolution that serves the broader goal"", ""Reflects on what they learned from the experience""]","[""Making the other person sound unreasonable or difficult"", ""Describing a situation where they simply convinced someone with no real opposition"", ""Not explaining how they built their case or changed the dynamic"", ""Focusing too much on the conflict rather than the resolution"", ""Choosing a trivial disagreement that does not demonstrate real influence""]","[""What would you have done if the stakeholder still disagreed after your conversation?"", ""How did you make sure the stakeholder felt heard?"", ""Was there any valid point in their objection that you incorporated?"", ""What would you do differently if you had to do it again?""]","1: Gives a generic answer or describes a situation where there was no real disagreement. 2: Describes a conflict but does not explain how they influenced the outcome. 3: Provides a clear example with a reasonable approach to building alignment. 4: Demonstrates active listening, use of evidence, and a positive resolution that served both parties. 5: Delivers a nuanced STAR answer showing sophisticated stakeholder management, empathy, and a clear business outcome at a level appropriate for a senior role at a company like Google.",,"google,behavioral",To be reviewed,5-15 min,Draft MimirNest company-contextualized prompt,Original draft prompt; verify any external company-specific attribution before publication,ai_draft_review_required,2026-09-12
MIMIR-0003,Google,Technology,Company-specific / Cross-functional,Behavioral,Behavioral,Medium,Technology,"Describe a project that did not go as planned. What did you do, using an example relevant to Google's business context?","I would describe a project that faced a real setback — a missed deadline, unexpected technical challenge, or change in requirements. I would focus on how I identified the problem early, communicated transparently, and took decisive action to recover. At Google, teams deal with ambiguity regularly, so showing you can course-correct is important.","**What the interviewer wants to know:**
The interviewer wants to see how you handle failure, uncertainty, and setbacks. They want honesty, not a fake success story where nothing went wrong.

**How to structure your answer (STAR):**
- **Situation:** Describe the project briefly. What was the goal?
- **Task:** What were you responsible for?
- **Action:** What went wrong? How did you detect it? What did you do to address it? Key actions might include re-prioritizing, communicating to stakeholders, bringing in help, or changing the approach.
- **Result:** What was the final outcome? Did you recover fully? What did you learn?

**What makes a strong answer:**
- Choose a real failure, not a ""humble brag"" (e.g., ""we worked too hard and succeeded slightly late"")
- Show ownership — do not blame the team or circumstances
- Emphasize what you learned and what you would do differently
- Show the outcome was still positive or that you managed damage well","[""Chooses a genuine setback, not a disguised success story"", ""Takes personal ownership without blaming others"", ""Explains how they detected the problem and acted quickly"", ""Communicates what they learned and how they changed"", ""Shows a positive outcome or well-managed recovery""]","[""Describing a 'humble brag' failure that wasn't really a failure"", ""Blaming teammates, management, or external factors"", ""Focusing too long on what went wrong rather than what they did"", ""Not articulating a clear lesson or behavior change"", ""Choosing a trivial example with no real stakes""]","[""What would you do differently if you faced the same situation today?"", ""How did your team or manager respond to the setback?"", ""How did you communicate the bad news to stakeholders?"", ""Did this experience change how you manage projects?""]","1: Describes a fake failure or blames others entirely. 2: Acknowledges a setback but provides little insight into their actions or learning. 3: Describes a real setback, explains what they did, and states a lesson. 4: Shows clear ownership, decisive action, transparent communication, and meaningful learning. 5: Delivers a compelling account of a genuine failure with honest self-reflection, strong recovery actions, and a lasting change in approach that demonstrates professional maturity.",,"google,behavioral",To be reviewed,5-15 min,Draft MimirNest company-contextualized prompt,Original draft prompt; verify any external company-specific attribution before publication,ai_draft_review_required,2026-09-12
MIMIR-0004,Google,Technology,Company-specific / Cross-functional,Behavioral,Behavioral,Hard,Technology,"Tell me about a decision where you had to balance customer impact, business impact, and execution constraints.","I would describe a decision where I had to weigh what was best for users, what made business sense, and what was actually achievable given the team's resources and timeline. I would walk through how I gathered input from each dimension, set clear criteria, and made a defensible trade-off. This kind of decision is common at Google given its scale and the complexity of its operations.","**What the interviewer wants to know:**
This question tests your judgment and your ability to make hard trade-off decisions. Interviewers want to see that you think about all three dimensions — not just one.

**How to structure your answer (STAR):**
- **Situation:** Set up the decision clearly. What was being decided and why was it difficult?
- **Task:** What role did you play? What were the competing pressures?
- **Action:** Explain how you structured the trade-off:
  - What was the customer impact of each option?
  - What was the business impact (revenue, risk, strategic fit)?
  - What were the execution constraints (time, resources, technical complexity)?
  - How did you weigh and resolve these tensions?
- **Result:** What did you decide? What happened? Was it the right call in hindsight?

**Key elements:**
- Show you genuinely considered all three dimensions
- Demonstrate structured thinking, not gut instinct alone
- Acknowledge the trade-offs honestly","[""Explicitly addresses all three dimensions: customer, business, and execution"", ""Shows a structured decision-making process"", ""Acknowledges the trade-offs honestly rather than pretending the choice was obvious"", ""Demonstrates clear ownership of the final decision"", ""Reflects on whether the decision was the right one in hindsight""]","[""Only focusing on one dimension (usually customer) and ignoring the others"", ""Describing a situation where all three aligned perfectly — no real trade-off"", ""Not explaining how the decision was made, only the outcome"", ""Being vague about the actual constraints"", ""Taking too long to set up the story without getting to the decision""]","[""Which dimension did you end up prioritizing and why?"", ""What would you do if you had more time or resources?"", ""How did stakeholders react to the trade-off you made?"", ""Looking back, would you make the same decision today?""]","1: Describes a decision without addressing the trade-off between the three dimensions. 2: Mentions customer and business impact but ignores execution constraints or vice versa. 3: Addresses all three dimensions and explains the final decision with a reasonable rationale. 4: Demonstrates a structured framework, honest acknowledgment of trade-offs, and a clear outcome with reflection. 5: Delivers a sophisticated account of a genuinely hard decision with nuanced reasoning, clear ownership, and a strong reflection on lessons learned.",,"google,behavioral",To be reviewed,5-15 min,Draft MimirNest company-contextualized prompt,Original draft prompt; verify any external company-specific attribution before publication,ai_draft_review_required,2026-09-12
MIMIR-0005,Google,Technology,Company-specific / Cross-functional,Leadership,Leadership,Medium,Technology,"Describe a time you led a team without having formal authority., using an example relevant to Google's business context?","I would describe a time when I needed to align and motivate people who did not report to me — perhaps across different functions or teams. I would explain how I built credibility through expertise and communication, created a shared sense of purpose, and used influence rather than authority to drive the team forward. This is especially relevant at Google where cross-functional collaboration is common.","**What the interviewer wants to know:**
The interviewer wants to see that you can lead through influence, communication, and inspiration — not just through formal power.

**How to structure your answer (STAR):**
- **Situation:** Who was the team? Why did you need to lead without formal authority?
- **Task:** What outcome were you working toward?
- **Action:** How did you lead?
  - Did you build relationships and earn trust first?
  - Did you create clarity around the goal?
  - Did you connect individual motivations to the team outcome?
  - Did you resolve conflict or keep momentum when people disagreed?
- **Result:** What did the team achieve?

**Key elements of a strong answer:**
- Show you understood each person's priorities and adapted your approach
- Demonstrate you created alignment around a shared goal
- Avoid implying you just ""took over"" — show collaborative leadership","[""Explains how they built credibility and trust with team members"", ""Shows ability to create alignment around a shared goal"", ""Adapts communication to different team members' motivations"", ""Resolves conflict or maintains momentum constructively"", ""Delivers a measurable team outcome""]","[""Describing a situation where they actually had formal authority"", ""Claiming leadership without explaining how they actually influenced others"", ""Not explaining the specific challenges of leading without authority"", ""Focusing too much on their own contribution rather than the team outcome"", ""Choosing a low-stakes or trivial example""]","[""What was the biggest challenge in leading without formal authority?"", ""How did you handle team members who were not engaged?"", ""What would you do differently if you had formal authority?"", ""How did this experience shape your approach to leadership?""]","1: Describes a situation where they had formal authority. 2: Acknowledges leading without authority but gives no insight into how. 3: Describes a real scenario with a clear approach to influencing peers. 4: Shows empathy, adaptability, and a structured approach to building alignment with a clear outcome. 5: Demonstrates sophisticated influence leadership including managing resistance, adapting to different motivations, and achieving a strong team result without relying on hierarchy.",,"google,leadership",To be reviewed,5-15 min,Draft MimirNest company-contextualized prompt,Original draft prompt; verify any external company-specific attribution before publication,ai_draft_review_required,2026-09-12
MIMIR-0006,Google,Technology,Company-specific / Cross-functional,Leadership,Leadership,Hard,Technology,How would you handle a team that is divided over the best approach to an important initiative?,"I would start by listening to both sides to genuinely understand the root cause of the disagreement. Then I would facilitate a structured discussion, help the team find shared criteria for deciding, and drive toward a decision — either by consensus or by making a clear call with a rationale. At Google, where cross-functional collaboration is critical, resolving team disagreement quickly and fairly is essential.","**How to approach a divided team:**

**Step 1: Diagnose the disagreement**
- Is it a disagreement about facts (one side has different information)?
- Is it about values or priorities (different people weigh trade-offs differently)?
- Is it interpersonal (trust or history issues between team members)?
Each type requires a different resolution approach.

**Step 2: Create space for each view**
- Hold structured discussions where each side presents their case
- Ask clarifying questions to ensure everyone is understood
- Summarize key differences to make the disagreement explicit and solvable

**Step 3: Find shared ground**
- Identify the shared objectives the whole team agrees on
- Use agreed criteria (e.g., what serves the customer best, what is feasible)

**Step 4: Drive to a decision**
- If consensus is reached, great. If not, the leader must decide — and explain clearly why
- Commit the team to the decision even if not everyone agreed

**Step 5: Follow up**
- Check in to make sure those who disagreed feel respected and included","[""Diagnoses the type of disagreement before acting"", ""Creates space for all views to be heard"", ""Uses shared criteria or objectives to resolve the disagreement"", ""Willing to make a final call when consensus is impossible"", ""Follows up to maintain team cohesion after the decision""]","[""Imposing a decision without listening to both sides"", ""Avoiding the conflict and hoping it resolves itself"", ""Taking a side too early without understanding the full picture"", ""Treating all disagreements the same way regardless of root cause"", ""Not following up to ensure team alignment post-decision""]","[""What if one side still refused to commit after the decision was made?"", ""How do you prevent this kind of division from happening in the first place?"", ""When would you escalate rather than resolve internally?"", ""How do you keep team morale intact when not everyone agrees with the final decision?""]","1: Proposes imposing a decision without any listening or process. 2: Suggests listening but has no structured approach to resolving the disagreement. 3: Outlines a reasonable process for hearing both sides and reaching a decision. 4: Demonstrates diagnosis of root cause, structured facilitation, and willingness to make a final call with clear rationale. 5: Shows nuanced leadership including tailoring the resolution approach to the type of disagreement, maintaining team cohesion, and following up effectively.",,"google,leadership",To be reviewed,5-15 min,Draft MimirNest company-contextualized prompt,Original draft prompt; verify any external company-specific attribution before publication,ai_draft_review_required,2026-09-12
MIMIR-0007,Google,Technology,Company-specific / Cross-functional,Strategy,Strategy,Medium,Technology,"What is one strategic opportunity you would investigate for Google and why, considering areas such as Search, YouTube, Cloud, advertising, AI?","I would identify one clear strategic opportunity for Google based on where the market is heading, where the company already has competitive advantages, and where there is an unmet customer need. For example, I might explore Search and suggest expanding into an adjacent area where Google's capabilities give it an edge.","**How to structure a strategic opportunity answer:**

**Step 1: State your opportunity clearly**
Choose one specific opportunity — do not list five. Be decisive.

**Step 2: Explain why the market is attractive**
- Is it large and growing?
- Are customers underserved?
- Is there a structural shift (technology, regulation, behavior) creating an opening?

**Step 3: Explain why Google is well-positioned**
- What existing strengths (data scale, AI research, search dominance, developer ecosystem, global user base) are relevant?
- Does Google have unique assets — data, relationships, technology, brand — that others don't?

**Step 4: Assess the competitive dynamics**
- Who else might pursue this? (Microsoft (Bing, Azure), Meta (advertising), Amazon (AWS, advertising), Apple (iOS ecosystem))
- What is the window of opportunity?

**Step 5: Outline high-level execution approach**
- What would the first steps look like?
- What risks need to be managed?

**Suggested opportunity areas for Google:** Search, YouTube, Google Cloud, Google Ads, Android, Chrome, Maps, Workspace, DeepMind, Gemini AI","[""Picks one specific, well-reasoned opportunity rather than several vague ones"", ""Explains why the market is attractive using clear logic"", ""Links the opportunity to specific strengths of Google"", ""Considers competitive dynamics and threats"", ""Proposes a high-level approach and acknowledges key risks""]","[""Proposing an opportunity without justifying it with market or company logic"", ""Listing multiple opportunities without prioritizing any of them"", ""Ignoring the company's existing strengths and capabilities"", ""Not considering competitors or what makes the opportunity defensible"", ""Inventing specific revenue figures or market data not grounded in logic""]","[""How would you size this opportunity?"", ""What would be the biggest risk to this strategy?"", ""How would Google build the capabilities needed?"", ""How would you prioritize this against existing opportunities?""]","1: Proposes an opportunity with no supporting rationale. 2: Identifies an opportunity but does not connect it to Google's strengths or market dynamics. 3: Presents a clear opportunity with reasonable market and company logic. 4: Delivers a well-structured strategic argument connecting market attractiveness, Google's unique advantages, and competitive dynamics. 5: Presents a compelling, differentiated opportunity with a clear strategic rationale, risk acknowledgment, and a high-level execution view that demonstrates strong business acumen.",,"google,strategy",To be reviewed,5-15 min,Draft MimirNest company-contextualized prompt,Original draft prompt; verify any external company-specific attribution before publication,ai_draft_review_required,2026-09-12
MIMIR-0008,Google,Technology,Company-specific / Cross-functional,Strategy,Strategy,Hard,Technology,"A strong competitor begins taking market share. How would you diagnose the situation and respond, considering areas such as Search, YouTube, Cloud, advertising, AI?","I would start by diagnosing why Google is losing share — whether the competitor is winning on price, product, distribution, or brand. I would then assess whether this is a temporary threat or a structural shift. Based on that diagnosis, I would evaluate response options: competing directly, differentiating, or acquiring capabilities. At Google, the response would depend on which part of the business — Search or others — is under pressure.","**Step 1: Diagnose the source of market share loss**
- Is the competitor winning on price, product features, distribution, or brand?
- Is the loss concentrated in a specific customer segment, geography, or product line?
- Is this a new entrant or an existing player making a move?

**Step 2: Assess the severity and sustainability**
- Is this a temporary dip or a structural threat?
- How quickly is market share moving?
- What is the competitor's motivation — are they investing for growth or just undercutting?

**Step 3: Evaluate Google's response options**
Options typically include:
- **Match or undercut:** Price adjustment, product parity investment
- **Differentiate:** Double down on unique advantages (data scale, AI research, search dominance, developer ecosystem, global user base)
- **Acquire:** Buy the competitor or a capability that closes the gap
- **Partner:** Form alliances that strengthen your position
- **Retreat:** Accept share loss in one segment to protect margins elsewhere

**Step 4: Recommend a prioritized response**
Based on diagnosis, choose the most appropriate option — and explain the trade-offs.

**Consider:** AI disruption to search, advertising competition, regulatory scrutiny, cloud market share","[""Starts with diagnosis before jumping to a response"", ""Identifies which segment, geography, or product is affected"", ""Evaluates multiple strategic options with trade-offs"", ""Recommends a specific response and justifies it"", ""Considers the competitor's motivation and sustainability of the threat""]","[""Jumping to a response without diagnosing the root cause"", ""Recommending a single option without considering alternatives"", ""Ignoring the company's competitive advantages in the response"", ""Not differentiating between a temporary and structural threat"", ""Making up specific data or market share figures""]","[""What data would you want to gather before deciding on a response?"", ""How quickly would you need to act?"", ""What if matching the competitor's price is not economically viable?"", ""How would you measure whether the response is working?""]","1: Jumps to a response without any diagnosis. 2: Identifies the threat but proposes only one option with no trade-off analysis. 3: Provides a structured diagnosis and evaluates at least two response options. 4: Delivers a prioritized response grounded in diagnosis of root cause and Google's specific strengths and constraints. 5: Demonstrates sophisticated competitive analysis including threat assessment, scenario evaluation, trade-off reasoning, and a clear strategic recommendation with metrics to track success.",,"google,strategy",To be reviewed,5-15 min,Draft MimirNest company-contextualized prompt,Original draft prompt; verify any external company-specific attribution before publication,ai_draft_review_required,2026-09-12
MIMIR-0009,Google,Technology,Company-specific / Cross-functional,Strategy,Strategy,Hard,Technology,"How would you evaluate whether Google should expand into a new geography, considering areas such as Search, YouTube, Cloud, advertising, AI?","I would evaluate geographic expansion for Google by analyzing market attractiveness, competitive dynamics, regulatory environment, and how well Google's existing capabilities transfer to the new market. I would prioritize markets with strong demand, manageable entry barriers, and alignment with Google's existing assets like Search.","**Framework for evaluating geographic expansion:**

**1. Market Attractiveness**
- Market size and growth rate
- Customer willingness to pay and existing demand signals
- Macroeconomic stability and GDP trends

**2. Competitive Landscape**
- Who is already there? How entrenched are they?
- Is there a first-mover advantage available?
- Are there local players that would be hard to beat?

**3. Regulatory and Political Environment**
- Data localization, licensing, tariffs
- Government relations requirements
- Risk of regulatory changes

**4. Google's Fit and Capabilities**
- Does the company's core offering translate without major adaptation?
- Are there existing partnerships, infrastructure, or brand recognition in the market?
- Consider: data scale, AI research, search dominance, developer ecosystem, global user base

**5. Economics**
- What is the cost to enter? (people, technology, marketing, distribution)
- What is the payback period?
- What is the minimum scale needed to be competitive?

**6. Recommendation Framework**
Score markets on attractiveness vs. ease of entry and prioritize the best quadrant.","[""Uses a structured framework covering market, competition, regulation, and fit"", ""Connects the evaluation to Google's specific capabilities"", ""Addresses economic viability and required investment"", ""Prioritizes factors rather than treating them equally"", ""Recommends a clear next step or decision criteria""]","[""Listing factors without explaining how to weigh or prioritize them"", ""Ignoring regulatory or political risk"", ""Not connecting the analysis to Google's specific strengths"", ""Assuming the home market playbook works perfectly in a new geography"", ""Confusing market attractiveness with ease of entry""]","[""Which specific geography would you recommend and why?"", ""How would you build a business case for the investment?"", ""What would make you decide NOT to enter a market?"", ""How would you sequence the entry if resources are limited?""]","1: Lists a few factors with no structure or weighting. 2: Provides a basic checklist of factors without depth or prioritization. 3: Uses a clear framework and applies it to Google's context with reasonable logic. 4: Delivers a comprehensive analysis connecting market opportunity, competitive dynamics, regulatory risk, and Google's fit with a clear recommendation. 5: Demonstrates expert-level strategic thinking with a fully structured evaluation, trade-off analysis between markets, and a defensible recommendation grounded in Google's capabilities and economics.",,"google,strategy",To be reviewed,5-15 min,Draft MimirNest company-contextualized prompt,Original draft prompt; verify any external company-specific attribution before publication,ai_draft_review_required,2026-09-12
MIMIR-0010,Google,Technology,Company-specific / Cross-functional,Strategy,Strategy,Expert,Technology,"If you were given a large strategic investment budget, how would you allocate it across competing opportunities, considering areas such as Search, YouTube, Cloud, advertising, AI?","I would allocate the budget based on three criteria: strategic importance to Google's long-term position, size of the market opportunity, and current readiness to execute. I would prioritize areas where Google has a right to win and where investment now creates a durable advantage. For Google, this means evaluating areas like Search, YouTube, Google Cloud, Google Ads, Android, Chrome, Maps, Workspace, DeepMind, Gemini AI against these criteria explicitly.","**How to approach a budget allocation question:**

**Step 1: Clarify the objectives**
Is this budget for growth, defense, transformation, or capability building? The allocation logic differs for each.

**Step 2: Identify the candidate opportunities**
For Google, relevant areas include: Search, YouTube, Google Cloud, Google Ads, Android, Chrome, Maps, Workspace, DeepMind, Gemini AI

**Step 3: Evaluate each opportunity on key criteria**
- **Strategic importance:** How critical is this to the company's long-term competitive position?
- **Market opportunity:** How large and growing is the opportunity?
- **Competitive positioning:** Does Google have a right to win? (data scale, AI research, search dominance, developer ecosystem, global user base)
- **Return potential:** What is the expected payback period and ROI?
- **Execution readiness:** Can the company actually execute well here?

**Step 4: Apply an allocation logic**
A typical allocation:
- **Core defense (protect existing business):** 50-60%
- **Adjacent bets (grow into related spaces):** 25-35%
- **Transformational investments (future positioning):** 10-15%

**Step 5: Acknowledge trade-offs and risks**
- What are you deprioritizing and why?
- What is the downside if a key bet doesn't work out?","[""Clarifies investment objectives before allocating"", ""Uses clear, explicit criteria for ranking opportunities"", ""Applies a logical allocation framework (core/adjacent/transformational)"", ""Connects allocation to Google's specific strategic position"", ""Acknowledges trade-offs and what is being deprioritized""]","[""Spreading the budget equally across all areas without any prioritization logic"", ""Ignoring execution risk or company readiness"", ""Allocating without explaining the reasoning behind each choice"", ""Focusing only on short-term return and ignoring long-term positioning"", ""Not acknowledging what is being deprioritized and why""]","[""What would you cut if the budget were 30% smaller?"", ""How would you measure ROI on transformational investments that have no near-term return?"", ""What would change your allocation in year two?"", ""How would you handle a board that disagrees with your allocation?""]","1: Allocates budget intuitively without any structured criteria. 2: Provides some criteria but does not apply them consistently to the available opportunities. 3: Uses clear criteria, evaluates opportunities, and proposes a reasonable allocation. 4: Delivers a rigorous allocation with a core/adjacent/transformational framework, connected to Google's specific position and trade-offs explicitly stated. 5: Demonstrates expert strategic judgment by combining opportunity sizing, competitive positioning, execution readiness, and portfolio balance into a compelling and defensible allocation recommendation.",,"google,strategy",To be reviewed,5-15 min,Draft MimirNest company-contextualized prompt,Original draft prompt; verify any external company-specific attribution before publication,ai_draft_review_required,2026-09-12
