ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Range Addition II,57.0%,Easy,100.0,https://leetcode.com/problems/range-addition-ii,"Array, Math"
2,Find Median from Data Stream,53.0%,Hard,93.7,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
3,Design Snake Game,39.0%,Medium,93.7,https://leetcode.com/problems/design-snake-game,"Array, Hash Table, Design, Queue, Simulation"
4,Merge Intervals,48.8%,Medium,88.2,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
5,Minimum Number of Steps to Make Two Strings Anagram,82.2%,Medium,80.9,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
6,Fraction Addition and Subtraction,66.2%,Medium,80.9,https://leetcode.com/problems/fraction-addition-and-subtraction,"Math, String, Simulation"
7,Find Peak Element,46.3%,Medium,76.0,https://leetcode.com/problems/find-peak-element,"Array, Binary Search"
8,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,41.2%,Medium,69.7,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"Array, Greedy, Sorting"
9,Merge k Sorted Lists,55.8%,Hard,69.7,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
10,Insert Delete GetRandom O(1),54.9%,Medium,60.9,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
11,Search in Rotated Sorted Array,42.3%,Medium,60.9,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
12,Basic Calculator II,45.3%,Medium,60.9,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
13,Fraction to Recurring Decimal,25.9%,Medium,60.9,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
14,Palindrome Linked List,55.2%,Easy,60.9,https://leetcode.com/problems/palindrome-linked-list,"Linked List, Two Pointers, Stack, Recursion"
15,Stickers to Spell Word,49.9%,Hard,60.9,https://leetcode.com/problems/stickers-to-spell-word,"Array, Hash Table, String, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
16,Find the Derangement of An Array,41.8%,Medium,60.9,https://leetcode.com/problems/find-the-derangement-of-an-array,"Math, Dynamic Programming, Combinatorics"
