ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Palindrome Pairs,36.0%,Hard,100.0,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie"
2,Flatten 2D Vector,50.0%,Medium,94.3,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
3,Combination Sum,73.9%,Medium,91.3,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
4,Maximum Profit in Job Scheduling,54.3%,Hard,90.2,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
5,Text Justification,47.1%,Hard,90.2,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
6,Pour Water,47.6%,Medium,87.8,https://leetcode.com/problems/pour-water,"Array, Simulation"
7,Smallest Common Region,67.9%,Medium,86.5,https://leetcode.com/problems/smallest-common-region,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search"
8,Trapping Rain Water,64.3%,Hard,85.2,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
9,Sliding Puzzle,73.0%,Hard,85.2,https://leetcode.com/problems/sliding-puzzle,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
10,Cheapest Flights Within K Stops,40.1%,Medium,85.2,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
11,Alien Dictionary,36.4%,Hard,85.2,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
12,Employee Free Time,72.5%,Hard,78.7,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
13,IP to CIDR,55.7%,Medium,78.7,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
14,Shortest Path to Get All Keys,53.7%,Hard,78.7,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
15,Word Search II,37.0%,Hard,76.8,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
16,Contains Duplicate II,48.1%,Easy,76.8,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
17,Two Sum,55.1%,Easy,76.8,https://leetcode.com/problems/two-sum,"Array, Hash Table"
18,Basic Calculator II,45.3%,Medium,76.8,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
19,Intersection of Two Linked Lists,60.3%,Easy,76.8,https://leetcode.com/problems/intersection-of-two-linked-lists,"Hash Table, Linked List, Two Pointers"
20,Minimum Window Substring,44.7%,Hard,76.8,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
21,House Robber,52.0%,Medium,74.6,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
22,Mini Parser,39.6%,Medium,74.6,https://leetcode.com/problems/mini-parser,"String, Stack, Depth-First Search"
23,Regular Expression Matching,29.0%,Hard,74.6,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
24,Valid Parentheses,41.8%,Easy,74.6,https://leetcode.com/problems/valid-parentheses,"String, Stack"
25,Merge k Sorted Lists,55.8%,Hard,74.6,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
26,Minimize Rounding Error to Meet Target,45.3%,Medium,74.6,https://leetcode.com/problems/minimize-rounding-error-to-meet-target,"Array, Math, String, Greedy, Sorting"
27,Pyramid Transition Matrix,52.8%,Medium,74.6,https://leetcode.com/problems/pyramid-transition-matrix,"Bit Manipulation, Depth-First Search, Breadth-First Search"
28,Convert to Base -2,61.3%,Medium,74.6,https://leetcode.com/problems/convert-to-base-2,Math
29,Strings Differ by One Character,41.2%,Medium,74.6,https://leetcode.com/problems/strings-differ-by-one-character,"Hash Table, String, Rolling Hash, Hash Function"
30,Minimum Number of Vertices to Reach All Nodes,81.1%,Medium,74.6,https://leetcode.com/problems/minimum-number-of-vertices-to-reach-all-nodes,Graph
31,Robot Bounded In Circle,56.2%,Medium,74.6,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
32,Add Strings,51.7%,Easy,74.6,https://leetcode.com/problems/add-strings,"Math, String, Simulation"
33,Maximum Candies You Can Get from Boxes,57.6%,Hard,74.6,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,"Array, Breadth-First Search, Graph"
34,Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,72.5%,Hard,74.6,https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,"Array, Hash Table, Bit Manipulation, Breadth-First Search, Matrix"
35,Number of Ways to Build House of Cards,61.8%,Medium,74.6,https://leetcode.com/problems/number-of-ways-to-build-house-of-cards,"Math, Dynamic Programming"
36,Happy Number,57.6%,Easy,74.6,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
37,Design File System,63.8%,Medium,74.6,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
38,Convert Sorted Array to Binary Search Tree,73.5%,Easy,74.6,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
39,Add Two Numbers,45.4%,Medium,74.6,https://leetcode.com/problems/add-two-numbers,"Linked List, Math, Recursion"
40,Single Number,75.3%,Easy,74.6,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
41,Maximal Square,48.2%,Medium,74.6,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
42,Contains Duplicate III,23.4%,Hard,74.6,https://leetcode.com/problems/contains-duplicate-iii,"Array, Sliding Window, Sorting, Bucket Sort, Ordered Set"
43,Contains Duplicate,62.8%,Easy,74.6,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
44,Reverse Bits,62.2%,Easy,74.6,https://leetcode.com/problems/reverse-bits,"Divide and Conquer, Bit Manipulation"
45,Simple Bank System,63.4%,Medium,63.2,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
46,Design Tic-Tac-Toe,58.4%,Medium,54.2,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
47,Subarray Product Less Than K,52.4%,Medium,54.2,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
48,Making A Large Island,54.3%,Hard,38.9,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
49,All O`one Data Structure,44.8%,Hard,38.9,https://leetcode.com/problems/all-oone-data-structure,"Hash Table, Linked List, Design, Doubly-Linked List"
50,Time Based Key-Value Store,49.4%,Medium,38.9,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
51,Shortest Path in Binary Matrix,49.2%,Medium,38.9,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
52,Shortest Uncommon Substring in an Array,47.3%,Medium,38.9,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array,"Array, Hash Table, String, Trie"
53,Merge Intervals,48.8%,Medium,38.9,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
54,Sort Integers by The Power Value,70.7%,Medium,38.9,https://leetcode.com/problems/sort-integers-by-the-power-value,"Dynamic Programming, Memoization, Sorting"
55,Flatten Nested List Iterator,65.2%,Medium,38.9,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
56,Coin Change,45.8%,Medium,38.9,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
