ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Design In-Memory File System,48.0%,Hard,100.0,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
2,String Transformation,30.7%,Hard,97.5,https://leetcode.com/problems/string-transformation,"Math, String, Dynamic Programming, String Matching"
3,Maximum Profit in Job Scheduling,54.3%,Hard,93.2,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
4,Number of Ways to Form a Target String Given a Dictionary,57.3%,Hard,93.2,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Array, String, Dynamic Programming"
5,Find All Anagrams in a String,51.8%,Medium,89.8,https://leetcode.com/problems/find-all-anagrams-in-a-string,"Hash Table, String, Sliding Window"
6,Maximum Number of Upgradable Servers,39.4%,Medium,89.8,https://leetcode.com/problems/maximum-number-of-upgradable-servers,"Array, Math, Binary Search"
7,Painting the Walls,50.3%,Hard,87.9,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming"
8,Happy Number,57.6%,Easy,85.8,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
9,Find the Maximum Length of a Good Subsequence I,31.1%,Medium,85.8,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-i,"Array, Hash Table, Dynamic Programming"
10,Minimum Array Length After Pair Removals,24.4%,Medium,85.8,https://leetcode.com/problems/minimum-array-length-after-pair-removals,"Array, Hash Table, Two Pointers, Binary Search, Greedy, Counting"
11,Find the Maximum Length of a Good Subsequence II,24.3%,Hard,83.5,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-ii,"Array, Hash Table, Dynamic Programming"
12,Trapping Rain Water,64.3%,Hard,83.5,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
13,Reverse Nodes in k-Group,62.0%,Hard,78.2,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
14,Course Schedule II,52.6%,Medium,75.1,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
15,Encode and Decode Strings,49.0%,Medium,71.4,https://leetcode.com/problems/encode-and-decode-strings,"Array, String, Design"
16,Count Vowel Substrings of a String,69.9%,Easy,71.4,https://leetcode.com/problems/count-vowel-substrings-of-a-string,"Hash Table, String"
17,Populating Next Right Pointers in Each Node II,54.9%,Medium,71.4,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
18,Regular Expression Matching,29.0%,Hard,71.4,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
19,Basic Calculator,44.9%,Hard,71.4,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
20,Boundary of Binary Tree,46.8%,Medium,71.4,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
21,Calculate Amount Paid in Taxes,67.0%,Easy,67.1,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
22,Word Search II,37.0%,Hard,67.1,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
23,Time Based Key-Value Store,49.4%,Medium,67.1,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
24,Parallel Courses III,66.8%,Hard,67.1,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
25,Populating Next Right Pointers in Each Node,64.8%,Medium,67.1,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,"Linked List, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
26,Design HashMap,65.7%,Easy,61.8,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
27,Design Hit Counter,69.0%,Medium,61.8,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
28,Integer to English Words,34.3%,Hard,61.8,https://leetcode.com/problems/integer-to-english-words,"Math, String, Recursion"
29,Course Schedule,48.5%,Medium,61.8,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
30,Sliding Window Median,38.7%,Hard,61.8,https://leetcode.com/problems/sliding-window-median,"Array, Hash Table, Sliding Window, Heap (Priority Queue)"
31,Patching Array,53.4%,Hard,61.8,https://leetcode.com/problems/patching-array,"Array, Greedy"
32,Graph Valid Tree,49.1%,Medium,61.8,https://leetcode.com/problems/graph-valid-tree,"Depth-First Search, Breadth-First Search, Union Find, Graph"
33,Swap Nodes in Pairs,66.5%,Medium,61.8,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
34,Evaluate Division,62.7%,Medium,55.0,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
35,Minimum Operations to Make Numbers Non-positive,41.5%,Hard,55.0,https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive,"Array, Binary Search"
36,Minimum Window Substring,44.7%,Hard,55.0,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
37,Cheapest Flights Within K Stops,40.1%,Medium,55.0,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
38,Min Stack,55.9%,Medium,55.0,https://leetcode.com/problems/min-stack,"Stack, Design"
39,Random Pick with Weight,48.2%,Medium,55.0,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
40,LRU Cache,44.4%,Medium,55.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
41,Merge Two Sorted Lists,66.3%,Easy,55.0,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
42,Container With Most Water,57.2%,Medium,55.0,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
43,Number of Islands,61.6%,Medium,55.0,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
44,Maximum Profit From Trading Stocks,46.3%,Medium,55.0,https://leetcode.com/problems/maximum-profit-from-trading-stocks,"Array, Dynamic Programming"
45,Copy List with Random Pointer,59.5%,Medium,55.0,https://leetcode.com/problems/copy-list-with-random-pointer,"Hash Table, Linked List"
46,Construct Binary Tree from Preorder and Inorder Traversal,66.1%,Medium,45.5,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
47,Longest Substring Without Repeating Characters,36.3%,Medium,45.5,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
48,Merge k Sorted Lists,55.8%,Hard,45.5,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
49,Find Median from Data Stream,53.0%,Hard,45.5,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
50,Word Break,47.9%,Medium,45.5,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
51,Median of Two Sorted Arrays,42.9%,Hard,45.5,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
52,Task Scheduler,61.0%,Medium,45.5,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
53,Most Profitable Path in a Tree,68.1%,Medium,45.5,https://leetcode.com/problems/most-profitable-path-in-a-tree,"Array, Tree, Depth-First Search, Breadth-First Search, Graph"
54,Swapping Nodes in a Linked List,68.3%,Medium,45.5,https://leetcode.com/problems/swapping-nodes-in-a-linked-list,"Linked List, Two Pointers"
55,N-Queens II,76.0%,Hard,45.5,https://leetcode.com/problems/n-queens-ii,Backtracking
56,Word Pattern II,48.5%,Medium,45.5,https://leetcode.com/problems/word-pattern-ii,"Hash Table, String, Backtracking"
57,Remove Invalid Parentheses,48.9%,Hard,45.5,https://leetcode.com/problems/remove-invalid-parentheses,"String, Backtracking, Breadth-First Search"
58,Leaf-Similar Trees,70.1%,Easy,45.5,https://leetcode.com/problems/leaf-similar-trees,"Tree, Depth-First Search, Binary Tree"
59,Count Nodes Equal to Average of Subtree,86.5%,Medium,45.5,https://leetcode.com/problems/count-nodes-equal-to-average-of-subtree,"Tree, Depth-First Search, Binary Tree"
60,Maximum Number of Removable Characters,45.1%,Medium,45.5,https://leetcode.com/problems/maximum-number-of-removable-characters,"Array, Two Pointers, String, Binary Search"
