ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Snapshot Array,36.8%,Medium,100.0,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
2,Interval List Intersections,72.5%,Medium,81.2,https://leetcode.com/problems/interval-list-intersections,"Array, Two Pointers, Line Sweep"
3,Basic Calculator II,45.3%,Medium,81.2,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
4,Maximum Profit in Job Scheduling,54.3%,Hard,76.4,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
5,Guess the Word,38.0%,Hard,76.4,https://leetcode.com/problems/guess-the-word,"Array, Math, String, Interactive, Game Theory"
6,Merge k Sorted Lists,55.8%,Hard,70.2,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
7,Non-overlapping Intervals,54.9%,Medium,70.2,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
8,Remove Sub-Folders from the Filesystem,75.7%,Medium,70.2,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem,"Array, String, Depth-First Search, Trie"
9,Transpose Matrix,73.7%,Easy,70.2,https://leetcode.com/problems/transpose-matrix,"Array, Matrix, Simulation"
10,Image Smoother,68.1%,Easy,61.5,https://leetcode.com/problems/image-smoother,"Array, Matrix"
11,Time Based Key-Value Store,49.4%,Medium,61.5,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
12,Basic Calculator III,51.9%,Hard,61.5,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
13,LRU Cache,44.4%,Medium,61.5,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
14,Diameter of Binary Tree,62.8%,Easy,61.5,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
