ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Time Based Key-Value Store,49.4%,Medium,100.0,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
2,Read N Characters Given read4 II - Call Multiple Times,42.7%,Hard,97.8,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,"Array, Simulation, Interactive"
3,Minimum Window Substring,44.7%,Hard,94.0,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
4,Rotting Oranges,56.0%,Medium,92.5,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
5,Range Sum Query 2D - Immutable,56.0%,Medium,80.8,https://leetcode.com/problems/range-sum-query-2d-immutable,"Array, Design, Matrix, Prefix Sum"
6,Max Stack,45.3%,Hard,74.8,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
7,Min Stack,55.9%,Medium,71.0,https://leetcode.com/problems/min-stack,"Stack, Design"
8,Meeting Rooms II,51.9%,Medium,60.3,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
9,Water and Jug Problem,42.5%,Medium,60.3,https://leetcode.com/problems/water-and-jug-problem,"Math, Depth-First Search, Breadth-First Search"
10,Asteroid Collision,45.1%,Medium,60.3,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
11,Implement Trie (Prefix Tree),67.4%,Medium,51.9,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
12,Convert Sorted List to Binary Search Tree,63.9%,Medium,51.9,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
13,Process Tasks Using Servers,40.8%,Medium,51.9,https://leetcode.com/problems/process-tasks-using-servers,"Array, Heap (Priority Queue)"
14,Car Pooling,56.0%,Medium,51.9,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
15,String Compression,57.3%,Medium,51.9,https://leetcode.com/problems/string-compression,"Two Pointers, String"
16,Smallest Range Covering Elements from K Lists,69.8%,Hard,51.9,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
17,Word Ladder II,27.1%,Hard,51.9,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search"
18,Longest Consecutive Sequence,47.2%,Medium,51.9,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
