ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Minimum Operations to Reduce an Integer to 0,56.7%,Medium,100.0,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,"Dynamic Programming, Greedy, Bit Manipulation"
2,Multiply Strings,41.8%,Medium,91.0,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
3,Word Search II,37.0%,Hard,75.7,https://leetcode.com/problems/word-search-ii,"Array, String, Backtracking, Trie, Matrix"
4,Number of Provinces,68.0%,Medium,75.7,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union Find, Graph"
5,Random Pick with Weight,48.2%,Medium,75.7,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
6,Parallel Courses III,66.8%,Hard,69.3,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
7,Merge k Sorted Lists,55.8%,Hard,60.4,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
8,Game of Life,70.9%,Medium,60.4,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
9,Intersection of Two Arrays,76.0%,Easy,60.4,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
10,Maximum Sum Circular Subarray,46.9%,Medium,60.4,https://leetcode.com/problems/maximum-sum-circular-subarray,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue"
11,Power of Four,49.1%,Easy,60.4,https://leetcode.com/problems/power-of-four,"Math, Bit Manipulation, Recursion"
12,Wildcard Matching,29.4%,Hard,60.4,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
13,Longest String Chain,61.7%,Medium,60.4,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
14,Maximum Subarray Sum with One Deletion,44.8%,Medium,60.4,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,"Array, Dynamic Programming"
15,Merge Intervals,48.8%,Medium,60.4,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
16,Sum of Square Numbers,36.4%,Medium,60.4,https://leetcode.com/problems/sum-of-square-numbers,"Math, Two Pointers, Binary Search"
17,Number of Orders in the Backlog,51.2%,Medium,60.4,https://leetcode.com/problems/number-of-orders-in-the-backlog,"Array, Heap (Priority Queue), Simulation"
18,Search Suggestions System,65.0%,Medium,60.4,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
19,Design Tic-Tac-Toe,58.4%,Medium,60.4,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
20,Design HashMap,65.7%,Easy,60.4,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
21,Best Time to Buy and Sell Stock,54.8%,Easy,60.4,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
22,Minimum Space Wasted From Packaging,32.3%,Hard,60.4,https://leetcode.com/problems/minimum-space-wasted-from-packaging,"Array, Binary Search, Sorting, Prefix Sum"
