ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Bulb Switcher,53.7%,Medium,100.0,https://leetcode.com/problems/bulb-switcher,"Math, Brainteaser"
2,Happy Number,57.6%,Easy,99.1,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
3,Two Sum,55.1%,Easy,97.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
4,Climbing Stairs,53.3%,Easy,92.4,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
5,Best Time to Buy and Sell Stock,54.8%,Easy,86.7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
6,Palindrome Number,58.7%,Easy,86.7,https://leetcode.com/problems/palindrome-number,Math
7,Rotate Array,42.5%,Medium,83.2,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
8,Roman to Integer,64.2%,Easy,81.3,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
9,Maximum Subarray,51.7%,Medium,79.2,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
10,Valid Parentheses,41.8%,Easy,79.2,https://leetcode.com/problems/valid-parentheses,"String, Stack"
11,Delete and Earn,56.6%,Medium,79.2,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
12,Find Subsequence of Length K With the Largest Sum,45.0%,Easy,76.9,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum,"Array, Hash Table, Sorting, Heap (Priority Queue)"
13,Maximum Area of Longest Diagonal Rectangle,36.7%,Easy,76.9,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array
14,Ant on the Boundary,74.7%,Easy,76.9,https://leetcode.com/problems/ant-on-the-boundary,"Array, Simulation, Prefix Sum"
15,Sum of Values at Indices With K Set Bits,86.1%,Easy,76.9,https://leetcode.com/problems/sum-of-values-at-indices-with-k-set-bits,"Array, Bit Manipulation"
16,Permutation Difference between Two Strings,88.0%,Easy,76.9,https://leetcode.com/problems/permutation-difference-between-two-strings,"Hash Table, String"
17,Longest Common Prefix,44.9%,Easy,76.9,https://leetcode.com/problems/longest-common-prefix,"String, Trie"
