ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Walls and Gates,62.6%,Medium,100.0,https://leetcode.com/problems/walls-and-gates,"Array, Breadth-First Search, Matrix"
2,Binary Tree Maximum Path Sum,40.9%,Hard,97.3,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
3,Maximum Profit in Job Scheduling,54.3%,Hard,90.9,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
4,Longest Increasing Path in a Matrix,54.9%,Hard,89.0,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
5,Most Profit Assigning Work,55.9%,Medium,80.3,https://leetcode.com/problems/most-profit-assigning-work,"Array, Two Pointers, Binary Search, Greedy, Sorting"
6,Koko Eating Bananas,48.8%,Medium,80.3,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
7,Check if One String Swap Can Make Strings Equal,49.5%,Easy,78.3,https://leetcode.com/problems/check-if-one-string-swap-can-make-strings-equal,"Hash Table, String, Counting"
8,Search Suggestions System,65.0%,Medium,78.3,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
9,Design File System,63.8%,Medium,77.2,https://leetcode.com/problems/design-file-system,"Hash Table, String, Design, Trie"
10,Minimum Number of Steps to Make Two Strings Anagram,82.2%,Medium,74.8,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
11,Find K Closest Elements,48.3%,Medium,72.8,https://leetcode.com/problems/find-k-closest-elements,"Array, Two Pointers, Binary Search, Sliding Window, Sorting, Heap (Priority Queue)"
12,Buddy Strings,33.5%,Easy,70.6,https://leetcode.com/problems/buddy-strings,"Hash Table, String"
13,Next Greater Element III,34.4%,Medium,68.9,https://leetcode.com/problems/next-greater-element-iii,"Math, Two Pointers, String"
14,Single-Threaded CPU,46.1%,Medium,68.9,https://leetcode.com/problems/single-threaded-cpu,"Array, Sorting, Heap (Priority Queue)"
15,Find Nearest Point That Has the Same X or Y Coordinate,69.2%,Easy,68.1,https://leetcode.com/problems/find-nearest-point-that-has-the-same-x-or-y-coordinate,Array
16,Basic Calculator III,51.9%,Hard,66.1,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
17,Count Sub Islands,72.8%,Medium,66.1,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
18,Asteroid Collision,45.1%,Medium,65.1,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
19,Making A Large Island,54.3%,Hard,64.0,https://leetcode.com/problems/making-a-large-island,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
