ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Reachable Nodes With Restrictions,59.4%,Medium,100.0,https://leetcode.com/problems/reachable-nodes-with-restrictions,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search, Union Find, Graph"
2,Length of Longest Subarray With at Most K Frequency,55.9%,Medium,100.0,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Array, Hash Table, Sliding Window"
3,Longest Ideal Subsequence,47.0%,Medium,100.0,https://leetcode.com/problems/longest-ideal-subsequence,"Hash Table, String, Dynamic Programming"
4,Sum Of Special Evenly-Spaced Elements In Array,49.2%,Hard,100.0,https://leetcode.com/problems/sum-of-special-evenly-spaced-elements-in-array,"Array, Dynamic Programming"
5,First Missing Positive,40.6%,Hard,94.5,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
6,Cheapest Flights Within K Stops,40.1%,Medium,77.2,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
7,Jump Game,39.1%,Medium,77.2,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
8,Spiral Matrix,52.9%,Medium,70.1,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
9,Minimum Window Substring,44.7%,Hard,70.1,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
10,Jump Game II,41.1%,Medium,70.1,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
11,Trapping Rain Water,64.3%,Hard,70.1,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
12,Generate Parentheses,76.5%,Medium,70.1,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
13,Best Time to Buy and Sell Stock,54.8%,Easy,60.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
14,Merge Intervals,48.8%,Medium,60.1,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
15,Maximum Product Subarray,34.5%,Medium,60.1,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
16,Longest Substring Without Repeating Characters,36.3%,Medium,60.1,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
17,Longest Valid Parentheses,35.7%,Hard,60.1,https://leetcode.com/problems/longest-valid-parentheses,"String, Dynamic Programming, Stack"
18,Majority Element,65.5%,Easy,60.1,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
19,Product of Array Except Self,67.4%,Medium,60.1,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
20,Increasing Triplet Subsequence,39.2%,Medium,60.1,https://leetcode.com/problems/increasing-triplet-subsequence,"Array, Greedy"
21,Reverse Nodes in k-Group,62.0%,Hard,60.1,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
22,LRU Cache,44.4%,Medium,60.1,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
23,Permutations,80.1%,Medium,60.1,https://leetcode.com/problems/permutations,"Array, Backtracking"
24,Find First and Last Position of Element in Sorted Array,46.1%,Medium,60.1,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
25,Evaluate Division,62.7%,Medium,60.1,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
