ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Trapping Rain Water,64.3%,Hard,100.0,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
2,Robot Bounded In Circle,56.2%,Medium,82.9,https://leetcode.com/problems/robot-bounded-in-circle,"Math, String, Simulation"
3,Median of Two Sorted Arrays,42.9%,Hard,78.4,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
4,First Unique Character in a String,63.2%,Easy,76.2,https://leetcode.com/problems/first-unique-character-in-a-string,"Hash Table, String, Queue, Counting"
5,Fraction to Recurring Decimal,25.9%,Medium,74.6,https://leetcode.com/problems/fraction-to-recurring-decimal,"Hash Table, Math, String"
6,Reaching Points,33.6%,Hard,71.2,https://leetcode.com/problems/reaching-points,Math
7,Best Time to Buy and Sell Stock,54.8%,Easy,70.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
8,High Five,74.4%,Easy,68.4,https://leetcode.com/problems/high-five,"Array, Hash Table, Sorting, Heap (Priority Queue)"
9,Container With Most Water,57.2%,Medium,65.1,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
10,Number of Islands,61.6%,Medium,64.2,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
11,Backspace String Compare,49.4%,Easy,64.2,https://leetcode.com/problems/backspace-string-compare,"Two Pointers, String, Stack, Simulation"
12,Minimize the Maximum of Two Arrays,31.1%,Medium,61.1,https://leetcode.com/problems/minimize-the-maximum-of-two-arrays,"Math, Binary Search, Number Theory"
13,LRU Cache,44.4%,Medium,61.1,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
14,String Compression,57.3%,Medium,61.1,https://leetcode.com/problems/string-compression,"Two Pointers, String"
15,Find Minimum in Rotated Sorted Array,52.2%,Medium,61.1,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
16,Group Anagrams,70.3%,Medium,61.1,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
17,Minimum Path Sum,65.8%,Medium,60.0,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
18,Two Sum,55.1%,Easy,60.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
19,Palindromic Substrings,71.3%,Medium,58.8,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
20,Longest Increasing Subsequence,57.2%,Medium,54.4,https://leetcode.com/problems/longest-increasing-subsequence,"Array, Binary Search, Dynamic Programming"
21,Search in Rotated Sorted Array,42.3%,Medium,54.4,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
22,Best Time to Buy and Sell Stock II,68.9%,Medium,50.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
23,Power of Three,47.7%,Easy,50.9,https://leetcode.com/problems/power-of-three,"Math, Recursion"
24,Knight Probability in Chessboard,56.5%,Medium,48.8,https://leetcode.com/problems/knight-probability-in-chessboard,Dynamic Programming
25,Longest Palindromic Substring,35.3%,Medium,48.8,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
26,Valid Parentheses,41.8%,Easy,48.8,https://leetcode.com/problems/valid-parentheses,"String, Stack"
27,Design HashMap,65.7%,Easy,48.8,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
28,Decode Ways,36.1%,Medium,46.4,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
29,"Pow(x, n)",36.5%,Medium,46.4,https://leetcode.com/problems/powx-n,"Math, Recursion"
30,Pairs of Songs With Total Durations Divisible by 60,53.2%,Medium,46.4,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
31,Sliding Window Maximum,47.2%,Hard,43.6,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
32,Insert Delete GetRandom O(1),54.9%,Medium,43.6,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
33,Search a 2D Matrix,51.8%,Medium,43.6,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
34,Climbing Stairs,53.3%,Easy,43.6,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
35,Construct Smallest Number From DI String,85.9%,Medium,43.6,https://leetcode.com/problems/construct-smallest-number-from-di-string,"String, Backtracking, Stack, Greedy"
36,Asteroid Collision,45.1%,Medium,43.6,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
37,Count Palindromic Subsequences,38.6%,Hard,43.6,https://leetcode.com/problems/count-palindromic-subsequences,"String, Dynamic Programming"
38,Merge Intervals,48.8%,Medium,43.6,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
39,Maximum Subarray,51.7%,Medium,43.6,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
40,Longest Substring Without Repeating Characters,36.3%,Medium,43.6,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
41,Robot Return to Origin,76.1%,Easy,40.4,https://leetcode.com/problems/robot-return-to-origin,"String, Simulation"
42,Rotting Oranges,56.0%,Medium,40.4,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
43,Product of Array Except Self,67.4%,Medium,40.4,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
44,Minimum Size Subarray Sum,48.7%,Medium,40.4,https://leetcode.com/problems/minimum-size-subarray-sum,"Array, Binary Search, Sliding Window, Prefix Sum"
