ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Valid Parentheses,41.8%,Easy,100.0,https://leetcode.com/problems/valid-parentheses,"String, Stack"
2,Happy Number,57.6%,Easy,98.7,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers"
3,Evaluate Division,62.7%,Medium,88.6,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
4,Pairs of Songs With Total Durations Divisible by 60,53.2%,Medium,72.2,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,"Array, Hash Table, Counting"
5,Find the Maximum Sum of Node Values,65.7%,Hard,72.2,https://leetcode.com/problems/find-the-maximum-sum-of-node-values,"Array, Dynamic Programming, Greedy, Bit Manipulation, Tree, Sorting"
6,Maximum Subtree of the Same Color,56.0%,Medium,72.2,https://leetcode.com/problems/maximum-subtree-of-the-same-color,"Array, Dynamic Programming, Tree, Depth-First Search"
7,Best Time to Buy and Sell Stock,54.8%,Easy,62.6,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
8,Group Anagrams,70.3%,Medium,55.0,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
9,Path with Maximum Probability,65.3%,Medium,55.0,https://leetcode.com/problems/path-with-maximum-probability,"Array, Graph, Heap (Priority Queue), Shortest Path"
10,Maximum Profit From Trading Stocks,46.3%,Medium,49.7,https://leetcode.com/problems/maximum-profit-from-trading-stocks,"Array, Dynamic Programming"
11,Number of Islands,61.6%,Medium,42.1,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
12,Valid Anagram,66.2%,Easy,42.1,https://leetcode.com/problems/valid-anagram,"Hash Table, String, Sorting"
13,Coin Change,45.8%,Medium,42.1,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
14,Generate Parentheses,76.5%,Medium,42.1,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
15,Maximize Greatness of an Array,58.7%,Medium,42.1,https://leetcode.com/problems/maximize-greatness-of-an-array,"Array, Two Pointers, Greedy, Sorting"
16,Boundary of Binary Tree,46.8%,Medium,42.1,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
17,Longest Palindromic Substring,35.3%,Medium,42.1,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
