ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Maximum Number of Potholes That Can Be Fixed,53.3%,Medium,100.0,https://leetcode.com/problems/maximum-number-of-potholes-that-can-be-fixed,"String, Greedy, Sorting"
2,Largest Palindromic Number,36.2%,Medium,95.3,https://leetcode.com/problems/largest-palindromic-number,"Hash Table, String, Greedy, Counting"
3,Integer to Roman,67.9%,Medium,89.4,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
4,Number of Steps to Reduce a Number in Binary Representation to One,61.4%,Medium,89.4,https://leetcode.com/problems/number-of-steps-to-reduce-a-number-in-binary-representation-to-one,"String, Bit Manipulation"
5,Coin Change,45.8%,Medium,81.6,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
6,Best Time to Buy and Sell Stock with Cooldown,59.8%,Medium,81.6,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Array, Dynamic Programming"
7,Valid Sudoku,61.7%,Medium,81.6,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
8,First Missing Positive,40.6%,Hard,76.4,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
9,Number of Spaces Cleaning Robot Cleaned,62.5%,Medium,76.4,https://leetcode.com/problems/number-of-spaces-cleaning-robot-cleaned,"Array, Matrix, Simulation"
10,Boundary of Binary Tree,46.8%,Medium,69.6,https://leetcode.com/problems/boundary-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
11,Path with Maximum Gold,68.1%,Medium,69.6,https://leetcode.com/problems/path-with-maximum-gold,"Array, Backtracking, Matrix"
12,Count of Smaller Numbers After Self,42.7%,Hard,60.2,https://leetcode.com/problems/count-of-smaller-numbers-after-self,"Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
13,Rotate Array,42.5%,Medium,60.2,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
14,Decode String,60.7%,Medium,60.2,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
15,Roman to Integer,64.2%,Easy,60.2,https://leetcode.com/problems/roman-to-integer,"Hash Table, Math, String"
16,Minimum Moves to Spread Stones Over Grid,45.2%,Medium,60.2,https://leetcode.com/problems/minimum-moves-to-spread-stones-over-grid,"Array, Dynamic Programming, Breadth-First Search, Matrix"
17,Minimum Number of Food Buckets to Feed the Hamsters,47.0%,Medium,60.2,https://leetcode.com/problems/minimum-number-of-food-buckets-to-feed-the-hamsters,"String, Dynamic Programming, Greedy"
18,Best Time to Buy and Sell Stock II,68.9%,Medium,60.2,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
19,Longest Happy String,65.5%,Medium,60.2,https://leetcode.com/problems/longest-happy-string,"String, Greedy, Heap (Priority Queue)"
