ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Subarray Product Less Than K,52.4%,Medium,100.0,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
2,Valid Parentheses,41.8%,Easy,98.1,https://leetcode.com/problems/valid-parentheses,"String, Stack"
3,Group Anagrams,70.3%,Medium,96.0,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
4,Trapping Rain Water,64.3%,Hard,93.7,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
5,Find Minimum Diameter After Merging Two Trees,58.0%,Hard,91.2,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees,"Tree, Depth-First Search, Breadth-First Search, Graph"
6,Number of Distinct Roll Sequences,57.2%,Hard,91.2,https://leetcode.com/problems/number-of-distinct-roll-sequences,"Dynamic Programming, Memoization"
7,Lexicographically Smallest String After Operations With Constraint,63.4%,Medium,91.2,https://leetcode.com/problems/lexicographically-smallest-string-after-operations-with-constraint,"String, Greedy"
8,Generate Parentheses,76.5%,Medium,88.5,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
9,LRU Cache,44.4%,Medium,88.5,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
10,Longest Substring Without Repeating Characters,36.3%,Medium,85.4,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
11,Two Sum,55.1%,Easy,78.0,https://leetcode.com/problems/two-sum,"Array, Hash Table"
12,Move Zeroes,62.5%,Easy,78.0,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers"
13,Best Time to Buy and Sell Stock,54.8%,Easy,78.0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
14,Merge Intervals,48.8%,Medium,73.2,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
15,Daily Temperatures,67.0%,Medium,73.2,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
16,Maximal Square,48.2%,Medium,73.2,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
17,Design HashMap,65.7%,Easy,73.2,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
18,Median of Two Sorted Arrays,42.9%,Hard,73.2,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
19,Zigzag Conversion,50.8%,Medium,73.2,https://leetcode.com/problems/zigzag-conversion,String
20,Search in Rotated Sorted Array,42.3%,Medium,73.2,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
21,Maximum Subarray,51.7%,Medium,67.5,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
22,Number of Islands,61.6%,Medium,67.5,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
23,Longest Palindromic Substring,35.3%,Medium,67.5,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
24,LFU Cache,45.8%,Hard,67.5,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
25,String Compression,57.3%,Medium,67.5,https://leetcode.com/problems/string-compression,"Two Pointers, String"
26,Pacific Atlantic Water Flow,56.9%,Medium,67.5,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
27,Kth Largest Element in an Array,67.6%,Medium,67.5,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
28,Maximum Product Subarray,34.5%,Medium,67.5,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
29,Validate Binary Search Tree,34.0%,Medium,67.5,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
30,Number of Visible People in a Queue,70.5%,Hard,60.0,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack"
31,Longest Consecutive Sequence,47.2%,Medium,60.0,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
32,Number of Distinct Substrings in a String,64.4%,Medium,60.0,https://leetcode.com/problems/number-of-distinct-substrings-in-a-string,"String, Trie, Rolling Hash, Suffix Array, Hash Function"
33,Top K Frequent Words,58.9%,Medium,60.0,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
34,Valid Parenthesis String,38.6%,Medium,60.0,https://leetcode.com/problems/valid-parenthesis-string,"String, Dynamic Programming, Stack, Greedy"
35,Reverse Words in a String II,55.8%,Medium,60.0,https://leetcode.com/problems/reverse-words-in-a-string-ii,"Two Pointers, String"
36,Validate IP Address,27.7%,Medium,60.0,https://leetcode.com/problems/validate-ip-address,String
37,Binary Tree Right Side View,65.6%,Medium,60.0,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
38,Set Matrix Zeroes,58.9%,Medium,60.0,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
