ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Combination Sum,73.9%,Medium,100.0,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
2,Palindrome Pairs,36.0%,Hard,97.5,https://leetcode.com/problems/palindrome-pairs,"Array, Hash Table, String, Trie"
3,Maximum Profit in Job Scheduling,54.3%,Hard,91.4,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
4,Flatten 2D Vector,50.0%,Medium,87.7,https://leetcode.com/problems/flatten-2d-vector,"Array, Two Pointers, Design, Iterator"
5,Shortest Path to Get All Keys,53.7%,Hard,87.7,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
6,Trapping Rain Water,64.3%,Hard,80.5,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
7,Minimum Window Substring,44.7%,Hard,80.5,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
8,Alien Dictionary,36.4%,Hard,80.5,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
9,Cheapest Flights Within K Stops,40.1%,Medium,80.5,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
10,Sliding Puzzle,73.0%,Hard,80.5,https://leetcode.com/problems/sliding-puzzle,"Array, Dynamic Programming, Backtracking, Breadth-First Search, Memoization, Matrix"
11,Text Justification,47.1%,Hard,74.0,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
12,Smallest Common Region,67.9%,Medium,74.0,https://leetcode.com/problems/smallest-common-region,"Array, Hash Table, String, Tree, Depth-First Search, Breadth-First Search"
13,Pour Water,47.6%,Medium,69.9,https://leetcode.com/problems/pour-water,"Array, Simulation"
14,Employee Free Time,72.5%,Hard,64.8,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
