ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Path Sum III,46.0%,Medium,100.0,https://leetcode.com/problems/path-sum-iii,"Tree, Depth-First Search, Binary Tree"
2,Largest Rectangle in Histogram,46.6%,Hard,91.4,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack"
3,Car Pooling,56.0%,Medium,91.4,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
4,Trapping Rain Water,64.3%,Hard,79.4,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
5,Next Permutation,42.3%,Medium,79.4,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
6,Rabbits in Forest,52.7%,Medium,79.4,https://leetcode.com/problems/rabbits-in-forest,"Array, Hash Table, Math, Greedy"
7,Count Sub Islands,72.8%,Medium,79.4,https://leetcode.com/problems/count-sub-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
8,Make Array Empty,25.4%,Hard,79.4,https://leetcode.com/problems/make-array-empty,"Array, Binary Search, Greedy, Binary Indexed Tree, Segment Tree, Sorting, Ordered Set"
9,Longest Repeating Character Replacement,56.4%,Medium,79.4,https://leetcode.com/problems/longest-repeating-character-replacement,"Hash Table, String, Sliding Window"
10,Find the Distance Value Between Two Arrays,69.8%,Easy,79.4,https://leetcode.com/problems/find-the-distance-value-between-two-arrays,"Array, Two Pointers, Binary Search, Sorting"
11,Gas Station,46.0%,Medium,79.4,https://leetcode.com/problems/gas-station,"Array, Greedy"
12,LRU Cache,44.4%,Medium,79.4,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
13,Open the Lock,60.6%,Medium,79.4,https://leetcode.com/problems/open-the-lock,"Array, Hash Table, String, Breadth-First Search"
14,Word Search,44.6%,Medium,79.4,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
15,Maximum Sum BST in Binary Tree,43.3%,Hard,79.4,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree,"Dynamic Programming, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
16,Jump Game II,41.1%,Medium,79.4,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
17,Longest Palindromic Substring,35.3%,Medium,79.4,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming"
18,Koko Eating Bananas,48.8%,Medium,79.4,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
