ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Longest Non-decreasing Subarray From Two Arrays,29.9%,Medium,100.0,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,"Array, Dynamic Programming"
2,Binary Tree Maximum Path Sum,40.9%,Hard,97.3,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
3,Delete and Earn,56.6%,Medium,95.1,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
4,Minimum Knight Moves,41.2%,Medium,93.5,https://leetcode.com/problems/minimum-knight-moves,Breadth-First Search
5,Minimum Equal Sum of Two Arrays After Replacing Zeros,36.3%,Medium,81.1,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
6,Number of Good Binary Strings,52.3%,Medium,77.9,https://leetcode.com/problems/number-of-good-binary-strings,Dynamic Programming
7,LFU Cache,45.8%,Hard,76.0,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
8,Palindromic Substrings,71.3%,Medium,71.7,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
9,Longest String Chain,61.7%,Medium,69.2,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
10,Subarray Sums Divisible by K,55.5%,Medium,69.2,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
11,Best Time to Buy and Sell Stock,54.8%,Easy,66.4,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
12,LRU Cache,44.4%,Medium,66.4,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
13,Evaluate Reverse Polish Notation,54.1%,Medium,66.4,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
14,Serialize and Deserialize Binary Tree,58.4%,Hard,63.1,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
15,Find the Duplicate Number,62.3%,Medium,59.3,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
16,Permutations,80.1%,Medium,59.3,https://leetcode.com/problems/permutations,"Array, Backtracking"
17,Sudoku Solver,63.7%,Hard,59.3,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
18,Minimum Operations to Make Numbers Non-positive,41.5%,Hard,59.3,https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive,"Array, Binary Search"
19,Sliding Window Maximum,47.2%,Hard,59.3,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
20,Find Median from Data Stream,53.0%,Hard,59.3,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
21,Validate Binary Search Tree,34.0%,Medium,59.3,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
22,Robot Room Cleaner,77.2%,Hard,54.5,https://leetcode.com/problems/robot-room-cleaner,"Backtracking, Interactive"
23,Design Search Autocomplete System,49.3%,Hard,54.5,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
24,Minimum Costs Using the Train Line,77.5%,Hard,54.5,https://leetcode.com/problems/minimum-costs-using-the-train-line,"Array, Dynamic Programming"
25,Best Time to Buy and Sell Stock II,68.9%,Medium,54.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
26,Number of Islands,61.6%,Medium,54.5,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
27,Evaluate Division,62.7%,Medium,54.5,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
28,N-Queens,71.7%,Hard,54.5,https://leetcode.com/problems/n-queens,"Array, Backtracking"
29,Trapping Rain Water,64.3%,Hard,54.5,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
30,Regular Expression Matching,29.0%,Hard,54.5,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
31,Count Ways To Build Good Strings,59.3%,Medium,48.5,https://leetcode.com/problems/count-ways-to-build-good-strings,Dynamic Programming
32,Group Anagrams,70.3%,Medium,48.5,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
33,Maximum Total Damage With Spell Casting,27.2%,Medium,48.5,https://leetcode.com/problems/maximum-total-damage-with-spell-casting,"Array, Hash Table, Two Pointers, Binary Search, Dynamic Programming, Sorting, Counting"
34,Maximum Length of Repeated Subarray,51.0%,Medium,48.5,https://leetcode.com/problems/maximum-length-of-repeated-subarray,"Array, Binary Search, Dynamic Programming, Sliding Window, Rolling Hash, Hash Function"
35,Length of Longest Subarray With at Most K Frequency,55.9%,Medium,48.5,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Array, Hash Table, Sliding Window"
36,Median of Two Sorted Arrays,42.9%,Hard,48.5,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
37,3Sum,36.4%,Medium,48.5,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
38,Best Time to Buy and Sell Stock III,50.3%,Hard,48.5,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
39,Longest Increasing Path in a Matrix,54.9%,Hard,48.5,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,"Array, Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Topological Sort, Memoization, Matrix"
40,Minimum Height Trees,41.9%,Medium,48.5,https://leetcode.com/problems/minimum-height-trees,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
41,Maximal Square,48.2%,Medium,48.5,https://leetcode.com/problems/maximal-square,"Array, Dynamic Programming, Matrix"
42,House Robber,52.0%,Medium,48.5,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
43,Rotting Oranges,56.0%,Medium,48.5,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
44,Bus Routes,47.1%,Hard,40.0,https://leetcode.com/problems/bus-routes,"Array, Hash Table, Breadth-First Search"
45,Merge k Sorted Lists,55.8%,Hard,40.0,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
46,Parallel Courses III,66.8%,Hard,40.0,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
