ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Cycle Length Queries in a Tree,57.7%,Hard,100.0,https://leetcode.com/problems/cycle-length-queries-in-a-tree,"Array, Tree, Binary Tree"
2,Maximum Length of Subarray With Positive Product,44.3%,Medium,100.0,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product,"Array, Dynamic Programming, Greedy"
3,Maximize the Confusion of an Exam,68.2%,Medium,97.6,https://leetcode.com/problems/maximize-the-confusion-of-an-exam,"String, Binary Search, Sliding Window, Prefix Sum"
4,Count Collisions on a Road,44.1%,Medium,97.6,https://leetcode.com/problems/count-collisions-on-a-road,"String, Stack, Simulation"
5,Number of People Aware of a Secret,46.1%,Medium,97.6,https://leetcode.com/problems/number-of-people-aware-of-a-secret,"Dynamic Programming, Queue, Simulation"
6,Partition Array Into Two Arrays to Minimize Sum Difference,21.3%,Hard,80.5,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,"Array, Two Pointers, Binary Search, Dynamic Programming, Bit Manipulation, Ordered Set, Bitmask"
7,House Robber,52.0%,Medium,80.5,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
8,Possible Bipartition,51.2%,Medium,75.0,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
9,Stone Game VI,58.4%,Medium,75.0,https://leetcode.com/problems/stone-game-vi,"Array, Math, Greedy, Sorting, Heap (Priority Queue), Game Theory"
10,Search in Rotated Sorted Array,42.3%,Medium,75.0,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
11,Longest Substring Without Repeating Characters,36.3%,Medium,67.9,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
12,Find the Count of Monotonic Pairs I,46.2%,Hard,67.9,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-i,"Array, Math, Dynamic Programming, Combinatorics, Prefix Sum"
13,Next Permutation,42.3%,Medium,67.9,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
14,Binary Tree Maximum Path Sum,40.9%,Hard,67.9,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
15,Minimum Insertion Steps to Make a String Palindrome,72.0%,Hard,57.9,https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome,"String, Dynamic Programming"
16,Best Time to Buy and Sell Stock IV,46.0%,Hard,57.9,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
17,Diagonal Traverse,62.5%,Medium,57.9,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
18,Edit Distance,58.2%,Medium,57.9,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
19,Maximum Product Subarray,34.5%,Medium,57.9,https://leetcode.com/problems/maximum-product-subarray,"Array, Dynamic Programming"
20,Surrounded Regions,42.0%,Medium,57.9,https://leetcode.com/problems/surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
21,Sort Colors,66.4%,Medium,57.9,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
22,Koko Eating Bananas,48.8%,Medium,57.9,https://leetcode.com/problems/koko-eating-bananas,"Array, Binary Search"
