ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Design Hit Counter,69.0%,Medium,100.0,https://leetcode.com/problems/design-hit-counter,"Array, Binary Search, Design, Queue, Data Stream"
2,IP to CIDR,55.7%,Medium,91.8,https://leetcode.com/problems/ip-to-cidr,"String, Bit Manipulation"
3,Design Tic-Tac-Toe,58.4%,Medium,80.7,https://leetcode.com/problems/design-tic-tac-toe,"Array, Hash Table, Design, Matrix, Simulation"
4,House Robber,52.0%,Medium,79.1,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
5,House Robber II,43.1%,Medium,79.1,https://leetcode.com/problems/house-robber-ii,"Array, Dynamic Programming"
6,Snapshot Array,36.8%,Medium,73.5,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design"
7,Smallest Range Covering Elements from K Lists,69.8%,Hard,68.6,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
8,Minimum Absolute Difference Between Elements With Constraint,34.8%,Medium,68.6,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,"Array, Binary Search, Ordered Set"
9,Web Crawler Multithreaded,49.6%,Medium,68.6,https://leetcode.com/problems/web-crawler-multithreaded,"Depth-First Search, Breadth-First Search, Concurrency"
10,Split Message Based on Limit,43.1%,Hard,65.6,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
11,Time Based Key-Value Store,49.4%,Medium,65.6,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
12,Number of Flowers in Full Bloom,57.1%,Hard,57.7,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
13,Count Integers in Intervals,35.9%,Hard,52.1,https://leetcode.com/problems/count-integers-in-intervals,"Design, Segment Tree, Ordered Set"
14,Step-By-Step Directions From a Binary Tree Node to Another,56.4%,Medium,52.1,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"String, Tree, Depth-First Search, Binary Tree"
15,Second Degree Follower,39.7%,Medium,52.1,https://leetcode.com/problems/second-degree-follower,Database
16,Text Justification,47.1%,Hard,52.1,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
17,Web Crawler,68.5%,Medium,44.2,https://leetcode.com/problems/web-crawler,"String, Depth-First Search, Breadth-First Search, Interactive"
18,First Missing Positive,40.6%,Hard,44.2,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
19,Maximum Profit in Job Scheduling,54.3%,Hard,44.2,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
20,Course Schedule II,52.6%,Medium,44.2,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
21,Accounts Merge,58.9%,Medium,44.2,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
22,Data Stream as Disjoint Intervals,60.3%,Hard,44.2,https://leetcode.com/problems/data-stream-as-disjoint-intervals,"Binary Search, Design, Ordered Set"
23,Design A Leaderboard,67.9%,Medium,44.2,https://leetcode.com/problems/design-a-leaderboard,"Hash Table, Design, Sorting"
24,Longest Palindrome by Concatenating Two Letter Words,47.9%,Medium,44.2,https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words,"Array, Hash Table, String, Greedy, Counting"
25,Closest Leaf in a Binary Tree,46.9%,Medium,44.2,https://leetcode.com/problems/closest-leaf-in-a-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
26,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,56.7%,Medium,44.2,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
