ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Simple Bank System,63.4%,Medium,100.0,https://leetcode.com/problems/simple-bank-system,"Array, Hash Table, Design, Simulation"
2,Spiral Matrix,52.9%,Medium,94.5,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
3,Block Placement Queries,16.1%,Hard,89.3,https://leetcode.com/problems/block-placement-queries,"Array, Binary Search, Binary Indexed Tree, Segment Tree"
4,Text Justification,47.1%,Hard,88.2,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
5,Count Alternating Subarrays,57.2%,Medium,79.1,https://leetcode.com/problems/count-alternating-subarrays,"Array, Math"
6,Four Divisors,44.3%,Medium,77.1,https://leetcode.com/problems/four-divisors,"Array, Math"
7,Candy Crush,77.2%,Medium,77.1,https://leetcode.com/problems/candy-crush,"Array, Two Pointers, Matrix, Simulation"
8,Rotate Image,77.2%,Medium,74.9,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
9,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,56.7%,Medium,72.4,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,"Array, Queue, Sliding Window, Heap (Priority Queue), Ordered Set, Monotonic Queue"
10,Count Operations to Obtain Zero,74.7%,Easy,72.4,https://leetcode.com/problems/count-operations-to-obtain-zero,"Math, Simulation"
11,Split Message Based on Limit,43.1%,Hard,72.4,https://leetcode.com/problems/split-message-based-on-limit,"String, Binary Search, Enumeration"
12,Simplify Path,46.6%,Medium,69.7,https://leetcode.com/problems/simplify-path,"String, Stack"
13,Minimum Operations to Write the Letter Y on a Grid,62.3%,Medium,66.5,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,"Array, Hash Table, Matrix, Counting"
14,Find the Length of the Longest Common Prefix,56.3%,Medium,62.7,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,"Array, Hash Table, String, Trie"
15,Remove Boxes,48.2%,Hard,62.7,https://leetcode.com/problems/remove-boxes,"Array, Dynamic Programming, Memoization"
16,Number of Flowers in Full Bloom,57.1%,Hard,62.7,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Hash Table, Binary Search, Sorting, Prefix Sum, Ordered Set"
17,Best Time to Buy and Sell Stock,54.8%,Easy,62.7,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
18,Word Search,44.6%,Medium,58.0,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
19,Palindrome Number,58.7%,Easy,58.0,https://leetcode.com/problems/palindrome-number,Math
20,Coin Change,45.8%,Medium,58.0,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
