ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Design Excel Sum Formula,44.1%,Hard,100.0,https://leetcode.com/problems/design-excel-sum-formula,"Array, Graph, Design, Topological Sort, Matrix"
2,Median of Two Sorted Arrays,42.9%,Hard,83.8,https://leetcode.com/problems/median-of-two-sorted-arrays,"Array, Binary Search, Divide and Conquer"
3,Evaluate Division,62.7%,Medium,75.3,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
4,Synonymous Sentences,56.4%,Medium,69.3,https://leetcode.com/problems/synonymous-sentences,"Array, Hash Table, String, Backtracking, Union Find"
5,Employee Importance,68.1%,Medium,69.3,https://leetcode.com/problems/employee-importance,"Array, Hash Table, Tree, Depth-First Search, Breadth-First Search"
6,Maximum Subarray,51.7%,Medium,60.8,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
7,Text Justification,47.1%,Hard,60.8,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
8,Longest Duplicate Substring,30.6%,Hard,60.8,https://leetcode.com/problems/longest-duplicate-substring,"String, Binary Search, Sliding Window, Rolling Hash, Suffix Array, Hash Function"
9,Last Stone Weight,65.8%,Easy,60.8,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
10,Optimal Account Balancing,49.7%,Hard,60.8,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
