ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Subsets,80.3%,Medium,100.0,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
2,Word Break,47.9%,Medium,98.0,https://leetcode.com/problems/word-break,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
3,Decode String,60.7%,Medium,98.0,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
4,LFU Cache,45.8%,Hard,95.8,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
5,Longest Substring with At Most K Distinct Characters,49.3%,Medium,95.8,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,"Hash Table, String, Sliding Window"
6,Split BST,82.5%,Medium,93.4,https://leetcode.com/problems/split-bst,"Tree, Binary Search Tree, Recursion, Binary Tree"
7,LRU Cache,44.4%,Medium,93.4,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
8,Range Module,44.0%,Hard,93.4,https://leetcode.com/problems/range-module,"Design, Segment Tree, Ordered Set"
9,Find Pivot Index,59.9%,Easy,93.4,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
10,Design In-Memory File System,48.0%,Hard,84.5,https://leetcode.com/problems/design-in-memory-file-system,"Hash Table, String, Design, Trie, Sorting"
11,Design Twitter,41.6%,Medium,80.7,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
12,Unique Paths II,42.8%,Medium,80.7,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
13,Possible Bipartition,51.2%,Medium,80.7,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
14,Course Schedule,48.5%,Medium,80.7,https://leetcode.com/problems/course-schedule,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
15,Longest Repeating Substring,62.7%,Medium,76.2,https://leetcode.com/problems/longest-repeating-substring,"String, Binary Search, Dynamic Programming, Rolling Hash, Suffix Array, Hash Function"
16,Unique Paths,65.4%,Medium,76.2,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
17,Regular Expression Matching,29.0%,Hard,76.2,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
