ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Time Based Key-Value Store,49.4%,Medium,100.0,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
2,Read N Characters Given read4 II - Call Multiple Times,42.7%,Hard,96.3,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,"Array, Simulation, Interactive"
3,Minimum Window Substring,44.7%,Hard,96.3,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
4,Rotting Oranges,56.0%,Medium,94.2,https://leetcode.com/problems/rotting-oranges,"Array, Breadth-First Search, Matrix"
5,Convert Sorted List to Binary Search Tree,63.9%,Medium,84.6,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,"Linked List, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
6,Max Stack,45.3%,Hard,84.6,https://leetcode.com/problems/max-stack,"Linked List, Stack, Design, Doubly-Linked List, Ordered Set"
7,Smallest Range Covering Elements from K Lists,69.8%,Hard,80.8,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
8,Car Pooling,56.0%,Medium,80.8,https://leetcode.com/problems/car-pooling,"Array, Sorting, Heap (Priority Queue), Simulation, Prefix Sum"
9,String Compression,57.3%,Medium,80.8,https://leetcode.com/problems/string-compression,"Two Pointers, String"
10,Range Sum Query 2D - Immutable,56.0%,Medium,76.1,https://leetcode.com/problems/range-sum-query-2d-immutable,"Array, Design, Matrix, Prefix Sum"
11,Min Stack,55.9%,Medium,73.3,https://leetcode.com/problems/min-stack,"Stack, Design"
12,Longest Consecutive Sequence,47.2%,Medium,66.3,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
13,Word Ladder II,27.1%,Hard,61.6,https://leetcode.com/problems/word-ladder-ii,"Hash Table, String, Backtracking, Breadth-First Search"
14,Longest Substring Without Repeating Characters,36.3%,Medium,61.6,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
15,Water and Jug Problem,42.5%,Medium,61.6,https://leetcode.com/problems/water-and-jug-problem,"Math, Depth-First Search, Breadth-First Search"
16,Decode Ways,36.1%,Medium,55.6,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
17,Asteroid Collision,45.1%,Medium,55.6,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
18,Meeting Rooms II,51.9%,Medium,55.6,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
19,Implement Trie (Prefix Tree),67.4%,Medium,55.6,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
20,Process Tasks Using Servers,40.8%,Medium,47.2,https://leetcode.com/problems/process-tasks-using-servers,"Array, Heap (Priority Queue)"
21,Find Minimum Time to Finish All Jobs,43.0%,Hard,47.2,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
22,Coordinate With Maximum Network Quality,38.3%,Medium,47.2,https://leetcode.com/problems/coordinate-with-maximum-network-quality,"Array, Enumeration"
