ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Insert Delete GetRandom O(1),54.9%,Medium,100.0,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
2,Flatten Nested List Iterator,65.2%,Medium,96.3,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
3,Trapping Rain Water,64.3%,Hard,96.3,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
4,Merge Intervals,48.8%,Medium,96.3,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
5,Design Twitter,41.6%,Medium,94.2,https://leetcode.com/problems/design-twitter,"Hash Table, Linked List, Design, Heap (Priority Queue)"
6,Tweet Counts Per Frequency,45.1%,Medium,94.2,https://leetcode.com/problems/tweet-counts-per-frequency,"Hash Table, Binary Search, Design, Sorting, Ordered Set"
7,Implement Trie (Prefix Tree),67.4%,Medium,94.2,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
8,Investments in 2016,49.7%,Medium,91.9,https://leetcode.com/problems/investments-in-2016,Database
9,Best Meeting Point,61.2%,Hard,91.9,https://leetcode.com/problems/best-meeting-point,"Array, Math, Sorting, Matrix"
10,Trapping Rain Water II,58.7%,Hard,89.4,https://leetcode.com/problems/trapping-rain-water-ii,"Array, Breadth-First Search, Heap (Priority Queue), Matrix"
11,Minimum Genetic Mutation,55.0%,Medium,89.4,https://leetcode.com/problems/minimum-genetic-mutation,"Hash Table, String, Breadth-First Search"
12,Minimum Number of Steps to Make Two Strings Anagram,82.2%,Medium,89.4,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Hash Table, String, Counting"
13,Validate IP Address,27.7%,Medium,89.4,https://leetcode.com/problems/validate-ip-address,String
14,Count Student Number in Departments,59.6%,Medium,89.4,https://leetcode.com/problems/count-student-number-in-departments,Database
15,Rectangles Area,68.7%,Medium,89.4,https://leetcode.com/problems/rectangles-area,Database
16,Regular Expression Matching,29.0%,Hard,89.4,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
17,Kth Smallest Element in a Sorted Matrix,63.2%,Medium,89.4,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,"Array, Binary Search, Sorting, Heap (Priority Queue), Matrix"
18,Tree Node,73.5%,Medium,89.4,https://leetcode.com/problems/tree-node,Database
19,Invalid Tweets,85.7%,Easy,89.4,https://leetcode.com/problems/invalid-tweets,Database
20,Number of Black Blocks,37.4%,Medium,89.4,https://leetcode.com/problems/number-of-black-blocks,"Array, Hash Table, Enumeration"
21,Masking Personal Information,50.2%,Medium,89.4,https://leetcode.com/problems/masking-personal-information,String
22,Design Authentication Manager,58.1%,Medium,89.4,https://leetcode.com/problems/design-authentication-manager,"Hash Table, Linked List, Design, Doubly-Linked List"
23,Minimum Elements to Add to Form a Given Sum,44.1%,Medium,89.4,https://leetcode.com/problems/minimum-elements-to-add-to-form-a-given-sum,"Array, Greedy"
24,Binary Gap,64.5%,Easy,89.4,https://leetcode.com/problems/binary-gap,Bit Manipulation
25,Finding the Users Active Minutes,80.4%,Medium,89.4,https://leetcode.com/problems/finding-the-users-active-minutes,"Array, Hash Table"
26,Process Tasks Using Servers,40.8%,Medium,89.4,https://leetcode.com/problems/process-tasks-using-servers,"Array, Heap (Priority Queue)"
27,Remove All Occurrences of a Substring,78.0%,Medium,89.4,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
28,Customer Placing the Largest Number of Orders,64.5%,Easy,89.4,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders,Database
29,Number of Connected Components in an Undirected Graph,63.8%,Medium,89.4,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,"Depth-First Search, Breadth-First Search, Union Find, Graph"
30,Integer to Roman,67.9%,Medium,89.4,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
31,Design Skiplist,61.8%,Hard,89.4,https://leetcode.com/problems/design-skiplist,"Linked List, Design"
32,Valid Parentheses,41.8%,Easy,89.4,https://leetcode.com/problems/valid-parentheses,"String, Stack"
33,Merge k Sorted Lists,55.8%,Hard,89.4,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
34,Multiply Strings,41.8%,Medium,89.4,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
