ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Merge Intervals,48.8%,Medium,100.0,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
2,Random Pick with Weight,48.2%,Medium,90.8,https://leetcode.com/problems/random-pick-with-weight,"Array, Math, Binary Search, Prefix Sum, Randomized"
3,First Missing Positive,40.6%,Hard,88.4,https://leetcode.com/problems/first-missing-positive,"Array, Hash Table"
4,Logger Rate Limiter,76.4%,Easy,82.6,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream"
5,Flatten Nested List Iterator,65.2%,Medium,82.6,https://leetcode.com/problems/flatten-nested-list-iterator,"Stack, Tree, Depth-First Search, Design, Queue, Iterator"
6,Time Based Key-Value Store,49.4%,Medium,79.1,https://leetcode.com/problems/time-based-key-value-store,"Hash Table, String, Binary Search, Design"
7,Top K Frequent Elements,64.1%,Medium,79.1,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
8,Meeting Rooms II,51.9%,Medium,75.0,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
9,LRU Cache,44.4%,Medium,75.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
10,Insert Delete GetRandom O(1),54.9%,Medium,69.9,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
11,Kth Largest Element in an Array,67.6%,Medium,63.3,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
12,Daily Temperatures,67.0%,Medium,63.3,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
13,Spiral Matrix,52.9%,Medium,63.3,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
14,Summary Ranges,52.6%,Easy,63.3,https://leetcode.com/problems/summary-ranges,Array
15,Best Time to Buy and Sell Stock,54.8%,Easy,63.3,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
16,Top K Frequent Words,58.9%,Medium,63.3,https://leetcode.com/problems/top-k-frequent-words,"Array, Hash Table, String, Trie, Sorting, Heap (Priority Queue), Bucket Sort, Counting"
17,Find Duplicate File in System,67.6%,Medium,54.1,https://leetcode.com/problems/find-duplicate-file-in-system,"Array, Hash Table, String"
18,Course Schedule II,52.6%,Medium,54.1,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
19,Minimum Remove to Make Valid Parentheses,70.2%,Medium,54.1,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,"String, Stack"
20,Implement Queue using Stacks,67.7%,Easy,54.1,https://leetcode.com/problems/implement-queue-using-stacks,"Stack, Design, Queue"
21,Valid Parentheses,41.8%,Easy,54.1,https://leetcode.com/problems/valid-parentheses,"String, Stack"
22,Longest Substring Without Repeating Characters,36.3%,Medium,54.1,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
23,Search in Rotated Sorted Array,42.3%,Medium,54.1,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
24,Reconstruct Itinerary,43.4%,Hard,54.1,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
25,Rotate Array,42.5%,Medium,54.1,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers"
26,Text Justification,47.1%,Hard,54.1,https://leetcode.com/problems/text-justification,"Array, String, Simulation"
27,Rotate Image,77.2%,Medium,54.1,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
28,Contains Duplicate II,48.1%,Easy,54.1,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
