ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Longest Non-decreasing Subarray From Two Arrays,29.9%,Medium,100.0,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,"Array, Dynamic Programming"
2,Binary Tree Maximum Path Sum,40.9%,Hard,98.0,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
3,Delete and Earn,56.6%,Medium,94.9,https://leetcode.com/problems/delete-and-earn,"Array, Hash Table, Dynamic Programming"
4,Minimum Knight Moves,41.2%,Medium,94.1,https://leetcode.com/problems/minimum-knight-moves,Breadth-First Search
5,Palindromic Substrings,71.3%,Medium,80.4,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
6,Minimum Equal Sum of Two Arrays After Replacing Zeros,36.3%,Medium,80.4,https://leetcode.com/problems/minimum-equal-sum-of-two-arrays-after-replacing-zeros,"Array, Greedy"
7,LFU Cache,45.8%,Hard,80.4,https://leetcode.com/problems/lfu-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
8,Minimum Operations to Make Numbers Non-positive,41.5%,Hard,78.8,https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive,"Array, Binary Search"
9,Minimum Costs Using the Train Line,77.5%,Hard,77.0,https://leetcode.com/problems/minimum-costs-using-the-train-line,"Array, Dynamic Programming"
10,Maximum Total Damage With Spell Casting,27.2%,Medium,77.0,https://leetcode.com/problems/maximum-total-damage-with-spell-casting,"Array, Hash Table, Two Pointers, Binary Search, Dynamic Programming, Sorting, Counting"
11,Number of Good Binary Strings,52.3%,Medium,77.0,https://leetcode.com/problems/number-of-good-binary-strings,Dynamic Programming
12,Count Palindromic Subsequences,38.6%,Hard,77.0,https://leetcode.com/problems/count-palindromic-subsequences,"String, Dynamic Programming"
13,Best Position for a Service Centre,34.8%,Hard,75.1,https://leetcode.com/problems/best-position-for-a-service-centre,"Array, Math, Geometry, Randomized"
14,Maximum Length of Repeated Subarray,51.0%,Medium,75.1,https://leetcode.com/problems/maximum-length-of-repeated-subarray,"Array, Binary Search, Dynamic Programming, Sliding Window, Rolling Hash, Hash Function"
15,LRU Cache,44.4%,Medium,73.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
16,First Completely Painted Row or Column,64.3%,Medium,73.0,https://leetcode.com/problems/first-completely-painted-row-or-column,"Array, Hash Table, Matrix"
17,Evaluate Division,62.7%,Medium,70.6,https://leetcode.com/problems/evaluate-division,"Array, String, Depth-First Search, Breadth-First Search, Union Find, Graph, Shortest Path"
18,Longest String Chain,61.7%,Medium,70.6,https://leetcode.com/problems/longest-string-chain,"Array, Hash Table, Two Pointers, String, Dynamic Programming, Sorting"
19,Find the Duplicate Number,62.3%,Medium,68.0,https://leetcode.com/problems/find-the-duplicate-number,"Array, Two Pointers, Binary Search, Bit Manipulation"
20,Subarray Sums Divisible by K,55.5%,Medium,68.0,https://leetcode.com/problems/subarray-sums-divisible-by-k,"Array, Hash Table, Prefix Sum"
21,Evaluate Reverse Polish Notation,54.1%,Medium,68.0,https://leetcode.com/problems/evaluate-reverse-polish-notation,"Array, Math, Stack"
22,Serialize and Deserialize Binary Tree,58.4%,Hard,68.0,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
23,Best Time to Buy and Sell Stock,54.8%,Easy,65.1,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
24,Sliding Window Maximum,47.2%,Hard,65.1,https://leetcode.com/problems/sliding-window-maximum,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
25,Insert Delete GetRandom O(1),54.9%,Medium,65.1,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
26,Parallel Courses III,66.8%,Hard,61.7,https://leetcode.com/problems/parallel-courses-iii,"Array, Dynamic Programming, Graph, Topological Sort"
27,Number of Islands,61.6%,Medium,61.7,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
28,Permutations,80.1%,Medium,61.7,https://leetcode.com/problems/permutations,"Array, Backtracking"
29,Length of Longest Subarray With at Most K Frequency,55.9%,Medium,61.7,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency,"Array, Hash Table, Sliding Window"
30,Merge k Sorted Lists,55.8%,Hard,57.7,https://leetcode.com/problems/merge-k-sorted-lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
31,Find Median from Data Stream,53.0%,Hard,57.7,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
32,Robot Room Cleaner,77.2%,Hard,57.7,https://leetcode.com/problems/robot-room-cleaner,"Backtracking, Interactive"
33,Couples Holding Hands,58.1%,Hard,57.7,https://leetcode.com/problems/couples-holding-hands,"Greedy, Depth-First Search, Breadth-First Search, Union Find, Graph"
34,Validate Binary Search Tree,34.0%,Medium,57.7,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
35,Regular Expression Matching,29.0%,Hard,57.7,https://leetcode.com/problems/regular-expression-matching,"String, Dynamic Programming, Recursion"
36,Sudoku Solver,63.7%,Hard,57.7,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
37,Design Search Autocomplete System,49.3%,Hard,52.8,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
38,Merge Intervals,48.8%,Medium,52.8,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
39,Search Suggestions System,65.0%,Medium,52.8,https://leetcode.com/problems/search-suggestions-system,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
40,N-Queens,71.7%,Hard,52.8,https://leetcode.com/problems/n-queens,"Array, Backtracking"
41,Design Circular Queue,52.4%,Medium,52.8,https://leetcode.com/problems/design-circular-queue,"Array, Linked List, Design, Queue"
42,Fizz Buzz,73.9%,Easy,52.8,https://leetcode.com/problems/fizz-buzz,"Math, String, Simulation"
43,Trapping Rain Water,64.3%,Hard,52.8,https://leetcode.com/problems/trapping-rain-water,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
44,Best Time to Buy and Sell Stock III,50.3%,Hard,52.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,"Array, Dynamic Programming"
45,Best Time to Buy and Sell Stock II,68.9%,Medium,52.8,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
46,Group Anagrams,70.3%,Medium,52.8,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
47,Transform to Chessboard,50.6%,Hard,46.5,https://leetcode.com/problems/transform-to-chessboard,"Array, Math, Bit Manipulation, Matrix"
48,Sort Items by Groups Respecting Dependencies,65.7%,Hard,46.5,https://leetcode.com/problems/sort-items-by-groups-respecting-dependencies,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
49,Climbing Stairs,53.3%,Easy,46.5,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization"
50,Implement Trie (Prefix Tree),67.4%,Medium,46.5,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
