ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Count and Say,57.9%,Medium,100.0,https://leetcode.com/problems/count-and-say,String
2,Shortest Path in a Grid with Obstacles Elimination,45.5%,Hard,88.9,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix"
3,Maximum Profit in Job Scheduling,54.3%,Hard,86.1,https://leetcode.com/problems/maximum-profit-in-job-scheduling,"Array, Binary Search, Dynamic Programming, Sorting"
4,Count Subarrays With Score Less Than K,55.7%,Hard,83.6,https://leetcode.com/problems/count-subarrays-with-score-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
5,Reorganize String,55.8%,Medium,76.3,https://leetcode.com/problems/reorganize-string,"Hash Table, String, Greedy, Sorting, Heap (Priority Queue), Counting"
6,Optimal Account Balancing,49.7%,Hard,75.0,https://leetcode.com/problems/optimal-account-balancing,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
7,Shortest Way to Form String,60.8%,Medium,73.6,https://leetcode.com/problems/shortest-way-to-form-string,"Two Pointers, String, Binary Search, Greedy"
8,Reconstruct Itinerary,43.4%,Hard,72.1,https://leetcode.com/problems/reconstruct-itinerary,"Depth-First Search, Graph, Eulerian Circuit"
9,Find Median from Data Stream,53.0%,Hard,72.1,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
10,Find K-th Smallest Pair Distance,45.6%,Hard,70.4,https://leetcode.com/problems/find-k-th-smallest-pair-distance,"Array, Two Pointers, Binary Search, Sorting"
11,Jump Game III,65.8%,Medium,68.6,https://leetcode.com/problems/jump-game-iii,"Array, Depth-First Search, Breadth-First Search"
12,Expression Add Operators,41.1%,Hard,68.6,https://leetcode.com/problems/expression-add-operators,"Math, String, Backtracking"
13,Unique Paths III,82.2%,Hard,61.8,https://leetcode.com/problems/unique-paths-iii,"Array, Backtracking, Bit Manipulation, Matrix"
14,Sparse Matrix Multiplication,68.6%,Medium,61.8,https://leetcode.com/problems/sparse-matrix-multiplication,"Array, Hash Table, Matrix"
15,Design Search Autocomplete System,49.3%,Hard,58.9,https://leetcode.com/problems/design-search-autocomplete-system,"String, Depth-First Search, Design, Trie, Sorting, Heap (Priority Queue), Data Stream"
16,String Compression,57.3%,Medium,58.9,https://leetcode.com/problems/string-compression,"Two Pointers, String"
17,Is Subsequence,48.2%,Easy,58.9,https://leetcode.com/problems/is-subsequence,"Two Pointers, String, Dynamic Programming"
18,Unique Paths II,42.8%,Medium,58.9,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
19,Minimize Result by Adding Parentheses to Expression,68.3%,Medium,51.2,https://leetcode.com/problems/minimize-result-by-adding-parentheses-to-expression,"String, Enumeration"
20,Is Graph Bipartite?,57.2%,Medium,51.2,https://leetcode.com/problems/is-graph-bipartite,"Depth-First Search, Breadth-First Search, Union Find, Graph"
21,The Number of Weak Characters in the Game,44.1%,Medium,51.2,https://leetcode.com/problems/the-number-of-weak-characters-in-the-game,"Array, Stack, Greedy, Sorting, Monotonic Stack"
22,Single Element in a Sorted Array,59.2%,Medium,45.8,https://leetcode.com/problems/single-element-in-a-sorted-array,"Array, Binary Search"
23,Meeting Rooms III,44.0%,Hard,45.8,https://leetcode.com/problems/meeting-rooms-iii,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation"
24,Meeting Rooms II,51.9%,Medium,45.8,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
25,Possible Bipartition,51.2%,Medium,45.8,https://leetcode.com/problems/possible-bipartition,"Depth-First Search, Breadth-First Search, Union Find, Graph"
26,Longest Word in Dictionary,53.2%,Medium,45.8,https://leetcode.com/problems/longest-word-in-dictionary,"Array, Hash Table, String, Trie, Sorting"
27,Coin Change,45.8%,Medium,45.8,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
28,Employee Free Time,72.5%,Hard,38.1,https://leetcode.com/problems/employee-free-time,"Array, Sorting, Heap (Priority Queue)"
29,Top K Frequent Elements,64.1%,Medium,38.1,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
30,Find Median Given Frequency of Numbers,42.5%,Hard,38.1,https://leetcode.com/problems/find-median-given-frequency-of-numbers,Database
31,Multiply Strings,41.8%,Medium,38.1,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
32,Number of Islands,61.6%,Medium,38.1,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
33,Letter Combinations of a Phone Number,63.1%,Medium,38.1,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
34,Ransom Note,63.9%,Easy,38.1,https://leetcode.com/problems/ransom-note,"Hash Table, String, Counting"
35,Merge Intervals,48.8%,Medium,38.1,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
36,Snakes and Ladders,44.0%,Medium,38.1,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix"
37,Shortest Path to Get All Keys,53.7%,Hard,38.1,https://leetcode.com/problems/shortest-path-to-get-all-keys,"Array, Bit Manipulation, Breadth-First Search, Matrix"
38,Smallest Range Covering Elements from K Lists,69.8%,Hard,38.1,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Hash Table, Greedy, Sliding Window, Sorting, Heap (Priority Queue)"
39,Implement Trie (Prefix Tree),67.4%,Medium,38.1,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
40,Sudoku Solver,63.7%,Hard,38.1,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
41,The Maze,59.1%,Medium,38.1,https://leetcode.com/problems/the-maze,"Array, Depth-First Search, Breadth-First Search, Matrix"
