ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Restore IP Addresses,52.4%,Medium,100.0,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
2,Find the Town Judge,49.9%,Easy,97.6,https://leetcode.com/problems/find-the-town-judge,"Array, Hash Table, Graph"
3,Construct String With Repeat Limit,70.9%,Medium,97.6,https://leetcode.com/problems/construct-string-with-repeat-limit,"Hash Table, String, Greedy, Heap (Priority Queue), Counting"
4,Reverse Nodes in k-Group,62.0%,Hard,95.0,https://leetcode.com/problems/reverse-nodes-in-k-group,"Linked List, Recursion"
5,Reverse Linked List II,49.1%,Medium,95.0,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
6,Inorder Successor in BST II,60.9%,Medium,85.0,https://leetcode.com/problems/inorder-successor-in-bst-ii,"Tree, Binary Search Tree, Binary Tree"
7,Reorder List,61.6%,Medium,85.0,https://leetcode.com/problems/reorder-list,"Linked List, Two Pointers, Stack, Recursion"
8,Contains Duplicate II,48.1%,Easy,80.5,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
9,Rotated Digits,56.4%,Medium,75.0,https://leetcode.com/problems/rotated-digits,"Math, Dynamic Programming"
10,Inorder Successor in BST,50.5%,Medium,75.0,https://leetcode.com/problems/inorder-successor-in-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
11,Missing Number,69.3%,Easy,75.0,https://leetcode.com/problems/missing-number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
12,Remove Linked List Elements,51.1%,Easy,67.9,https://leetcode.com/problems/remove-linked-list-elements,"Linked List, Recursion"
13,LRU Cache,44.4%,Medium,67.9,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
14,Merge Two Sorted Lists,66.3%,Easy,67.9,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion"
15,Moving Average from Data Stream,79.6%,Easy,67.9,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
16,Missing Element in Sorted Array,58.2%,Medium,67.9,https://leetcode.com/problems/missing-element-in-sorted-array,"Array, Binary Search"
17,Merge In Between Linked Lists,82.2%,Medium,67.9,https://leetcode.com/problems/merge-in-between-linked-lists,Linked List
18,Maximum Units on a Truck,74.0%,Easy,67.9,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
19,Find the Winner of the Circular Game,82.0%,Medium,58.0,https://leetcode.com/problems/find-the-winner-of-the-circular-game,"Array, Math, Recursion, Queue, Simulation"
20,Search in Rotated Sorted Array,42.3%,Medium,58.0,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
21,Maximum Depth of Binary Tree,76.8%,Easy,58.0,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
22,Contains Duplicate,62.8%,Easy,58.0,https://leetcode.com/problems/contains-duplicate,"Array, Hash Table, Sorting"
23,Course Schedule II,52.6%,Medium,58.0,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
24,Validate Binary Search Tree,34.0%,Medium,58.0,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
25,Palindromic Substrings,71.3%,Medium,58.0,https://leetcode.com/problems/palindromic-substrings,"Two Pointers, String, Dynamic Programming"
26,Find Minimum in Rotated Sorted Array,52.2%,Medium,58.0,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,"Array, Binary Search"
27,Kth Largest Element in a Stream,59.7%,Easy,58.0,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Tree, Design, Binary Search Tree, Heap (Priority Queue), Binary Tree, Data Stream"
28,Implement Trie (Prefix Tree),67.4%,Medium,58.0,https://leetcode.com/problems/implement-trie-prefix-tree,"Hash Table, String, Design, Trie"
29,Best Time to Buy and Sell Stock,54.8%,Easy,58.0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
30,Binary Tree Maximum Path Sum,40.9%,Hard,58.0,https://leetcode.com/problems/binary-tree-maximum-path-sum,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
31,Flatten a Multilevel Doubly Linked List,61.0%,Medium,58.0,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,"Linked List, Depth-First Search, Doubly-Linked List"
32,Reverse Words in a String,50.1%,Medium,58.0,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
33,Remove All Occurrences of a Substring,78.0%,Medium,58.0,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"String, Stack, Simulation"
