ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Topics
1,Power of Two,48.2%,Easy,100.0,https://leetcode.com/problems/power-of-two,"Math, Bit Manipulation, Recursion"
2,Meeting Rooms II,51.9%,Medium,98.6,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
3,LRU Cache,44.4%,Medium,97.0,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
4,Minimum Window Substring,44.7%,Hard,93.6,https://leetcode.com/problems/minimum-window-substring,"Hash Table, String, Sliding Window"
5,Word Ladder,41.8%,Hard,89.7,https://leetcode.com/problems/word-ladder,"Hash Table, String, Breadth-First Search"
6,One Edit Distance,34.4%,Medium,87.5,https://leetcode.com/problems/one-edit-distance,"Two Pointers, String"
7,Word Break II,52.9%,Hard,87.5,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
8,Min Stack,55.9%,Medium,87.5,https://leetcode.com/problems/min-stack,"Stack, Design"
9,Alien Dictionary,36.4%,Hard,87.5,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
10,Valid Sudoku,61.7%,Medium,87.5,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
11,Game of Life,70.9%,Medium,85.1,https://leetcode.com/problems/game-of-life,"Array, Matrix, Simulation"
12,Ternary Expression Parser,61.8%,Medium,85.1,https://leetcode.com/problems/ternary-expression-parser,"String, Stack, Recursion"
13,Reverse Linked List,78.7%,Easy,85.1,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion"
14,Combination Sum IV,54.5%,Medium,85.1,https://leetcode.com/problems/combination-sum-iv,"Array, Dynamic Programming"
15,Closest Binary Search Tree Value,50.2%,Easy,85.1,https://leetcode.com/problems/closest-binary-search-tree-value,"Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
16,Frog Jump,46.4%,Hard,85.1,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
17,Remove K Digits,34.4%,Medium,85.1,https://leetcode.com/problems/remove-k-digits,"String, Stack, Greedy, Monotonic Stack"
18,String Compression,57.3%,Medium,85.1,https://leetcode.com/problems/string-compression,"Two Pointers, String"
19,Reverse Words in a String,50.1%,Medium,85.1,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String"
20,Design Log Storage System,59.3%,Medium,85.1,https://leetcode.com/problems/design-log-storage-system,"Hash Table, String, Design, Ordered Set"
21,Binary Tree Vertical Order Traversal,56.6%,Medium,85.1,https://leetcode.com/problems/binary-tree-vertical-order-traversal,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
22,Least Operators to Express Number,48.6%,Hard,85.1,https://leetcode.com/problems/least-operators-to-express-number,"Math, Dynamic Programming, Memoization"
23,Sudoku Solver,63.7%,Hard,85.1,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
24,Combination Sum,73.9%,Medium,85.1,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
25,Combination Sum II,57.2%,Medium,85.1,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
26,Unique Binary Search Trees,62.1%,Medium,85.1,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
27,Wildcard Matching,29.4%,Hard,85.1,https://leetcode.com/problems/wildcard-matching,"String, Dynamic Programming, Greedy, Recursion"
28,Word Abbreviation,61.6%,Hard,85.1,https://leetcode.com/problems/word-abbreviation,"Array, String, Greedy, Trie, Sorting"
29,Burst Balloons,60.6%,Hard,85.1,https://leetcode.com/problems/burst-balloons,"Array, Dynamic Programming"
30,Largest Merge Of Two Strings,50.4%,Medium,85.1,https://leetcode.com/problems/largest-merge-of-two-strings,"Two Pointers, String, Greedy"
31,Course Schedule II,52.6%,Medium,76.1,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
32,Cheapest Flights Within K Stops,40.1%,Medium,72.2,https://leetcode.com/problems/cheapest-flights-within-k-stops,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
33,Word Search,44.6%,Medium,72.2,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
34,Basic Calculator II,45.3%,Medium,72.2,https://leetcode.com/problems/basic-calculator-ii,"Math, String, Stack"
35,Shortest Bridge,58.3%,Medium,72.2,https://leetcode.com/problems/shortest-bridge,"Array, Depth-First Search, Breadth-First Search, Matrix"
36,Valid Arrangement of Pairs,66.7%,Hard,67.6,https://leetcode.com/problems/valid-arrangement-of-pairs,"Depth-First Search, Graph, Eulerian Circuit"
37,Jump Game III,65.8%,Medium,67.6,https://leetcode.com/problems/jump-game-iii,"Array, Depth-First Search, Breadth-First Search"
38,Number of Islands,61.6%,Medium,67.6,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
